"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",112.729744681767,0.748895332210654,33,0,0.00183269839173924,0.740489728188974,-0.263221029210068,0.308178047407735,"R2_peripheral",1
"7Networks_LH_Vis_2",120.566977982062,0.796942215238279,45,337,0.00197837761010457,0.660491898027858,0.93306213447334,0.252747357019161,"R2_peripheral",1
"7Networks_LH_Vis_3",117.974778900073,0.781070988683197,46,36,0.00195678185199919,0.693259317086185,0.645945944297784,0.344136604644053,"R2_peripheral",1
"7Networks_LH_Vis_4",118.449108043211,0.791565680619832,50,57,0.00196353837056083,0.644660340975397,0.405188473424135,0.44199480599465,"R2_peripheral",1
"7Networks_LH_Vis_5",55.2747811124819,0.363518644688164,5,0,0.00127711212329834,1,-2.04017818230437,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",88.6062894145273,0.587543570218355,5,0,0.00135462651829905,1,-2.07178810398332,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_7",94.0620158271692,0.624242221156112,22,11,0.00163595085536224,0.817656694983679,-0.492986786086155,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_8",122.126537144546,0.808347618630509,55,86,0.00208797893977772,0.616206168116057,0.125957388411001,0.56078333386693,"R2_peripheral",1
"7Networks_LH_Vis_9",92.4006021370088,0.60888318553627,17,0,0.00153722088534994,0.901827072302883,-0.96242158273598,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",118.925414020066,0.797019933539751,47,66,0.00200787621206843,0.669905809590335,0.702152980493526,0.385179097253262,"R2_peripheral",1
"7Networks_LH_Vis_11",105.76498112739,0.699673835090392,31,6,0.00180417161208774,0.842066087163434,0.433787716471368,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_12",123.404797781719,0.82451711217614,65,80,0.00216418306740016,0.568205496972041,0.394272084841187,0.609398611043802,"R2_peripheral",1
"7Networks_LH_Vis_13",130.320108900829,0.871299479931739,82,708,0.0022934961450541,0.557191378563297,1.61541116472339,0.567806403069203,"R2_peripheral",1
"7Networks_LH_Vis_14",108.245044529971,0.72046959662506,33,2,0.00188647383181805,0.820339685923875,0.678800117359768,0.08358230062789,"R2_peripheral",1
"7Networks_LH_SomMot_1",113.770639021437,0.757887886207587,44,0,0.00197361366453461,0.959753546086893,-0.802645786049576,0.157243720887507,"R2_peripheral",2
"7Networks_LH_SomMot_2",136.885184286576,0.915247019203412,90,47,0.00243302140093056,0.697575254363573,0.720831192860639,0.414822513148731,"R2_peripheral",2
"7Networks_LH_SomMot_3",125.970180911817,0.841972769911176,69,200,0.00218904899402802,0.787557415432573,0.564836967583143,0.142592267454245,"R2_peripheral",2
"7Networks_LH_SomMot_4",120.48437923339,0.810561916199809,68,11,0.00218694260435431,0.82096376948086,0.658373299072664,0.120795807845508,"R2_peripheral",2
"7Networks_LH_SomMot_5",124.138649661318,0.837505101469851,71,4,0.00220242725741659,0.822642555326239,0.758933166179989,0.153273341120613,"R2_peripheral",2
"7Networks_LH_SomMot_6",105.920638270571,0.708720641501252,31,2,0.00182877684298117,0.979491300874985,-1.12999791636885,0,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_7",134.031755438492,0.903093695157466,96,108,0.00246108387371557,0.654332010124571,0.847106605415215,0.443617892665672,"R2_peripheral",2
"7Networks_LH_SomMot_8",143.973926944599,0.966161136496842,116,483,0.00267994089487626,0.551918898360207,1.19732065464458,0.51930458965703,"R2_peripheral",2
"7Networks_LH_SomMot_9",110.5971057962,0.743722122424728,31,0,0.00180990744194019,0.958338419283789,-1.2721540494998,0.0539324711946281,"R2_peripheral",2
"7Networks_LH_SomMot_10",129.671442161703,0.868614392354965,80,47,0.00229065327253982,0.709483571458688,0.23941987013379,0.401041416524531,"R2_peripheral",2
"7Networks_LH_SomMot_11",114.190071376337,0.774711134623657,59,0,0.00204818508044584,0.858539595010294,-0.276763167195669,0.278839218322742,"R2_peripheral",2
"7Networks_LH_SomMot_12",130.827921070005,0.879497422622404,80,77,0.00230177698346137,0.768480545151399,0.611249597650558,0.329525953211805,"R2_peripheral",2
"7Networks_LH_SomMot_13",128.762108789001,0.865380040244743,75,19,0.00221353331040867,0.806646502902287,0.439552965136715,0.318036388472909,"R2_peripheral",2
