"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",144.244038510006,0.80662718898256,45,4,0.00227952286221721,0.646557767195083,0.964590131558295,0.37748571078294,"R2_peripheral",1
"7Networks_LH_Vis_2",142.554263398094,0.787571382306814,29,259,0.00215095246879197,0.746414961578649,0.675490787571646,0.0514450956696848,"R2_peripheral",1
"7Networks_LH_Vis_3",138.149482483884,0.766754326307187,36,127,0.00225454515631269,0.650500448658179,0.271388294121943,0.387741086345275,"R2_peripheral",1
"7Networks_LH_Vis_4",145.165122471001,0.813312207776038,47,115,0.00229940449596567,0.611367788913983,0.934861879087672,0.43407566760979,"R2_peripheral",1
"7Networks_LH_Vis_5",56.4270278463156,0.305874021333076,1,0,0.00116555822235336,0,-2.3817385660774,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",127.408052535621,0.711131193408796,14,0,0.00192365683316018,0.990604813251828,-1.24654184747246,0.217921530275453,"R2_peripheral",1
"7Networks_LH_Vis_7",104.292520339247,0.578030892047547,15,0,0.00175692122773649,0.928042600686967,-0.806674090199671,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_8",144.963233839069,0.804200881171112,46,172,0.00243519375866682,0.552474820539997,-0.145144475920707,0.581944673770439,"R2_peripheral",1
"7Networks_LH_Vis_9",101.449728758053,0.556976555402922,11,0,0.00163971996077947,0.858293499812493,-1.30562434955288,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",140.386866744758,0.787807166867769,37,27,0.00225892462616573,0.686017571696434,0.765171922219605,0.356968283314987,"R2_peripheral",1
"7Networks_LH_Vis_11",120.99586797823,0.668658871494852,26,10,0.00197464466171132,0.799536624374283,0.344365594667974,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_12",144.192222947693,0.806273886984998,45,109,0.00240118501164915,0.593738096041433,0.221510194274654,0.570636946513171,"R2_peripheral",1
"7Networks_LH_Vis_13",149.401256673705,0.835053659973504,49,205,0.00237629694981617,0.597935302668486,1.36389703094357,0.434394437107816,"R2_peripheral",1
"7Networks_LH_Vis_14",121.460669481597,0.674878764569814,27,1,0.00202347296303661,0.810178443830106,0.739932989539907,0,"R1_ultra_peripheral",1
"7Networks_LH_SomMot_1",153.598403248372,0.870168518588258,80,1,0.0026611202953083,0.809599116404152,0.512624792019682,0.159391250223488,"R2_peripheral",2
"7Networks_LH_SomMot_2",171.288282771742,0.969192137614807,102,58,0.00296235899560552,0.650445432841417,1.06914530293691,0.337231593279668,"R2_peripheral",2
"7Networks_LH_SomMot_3",161.576307862384,0.915264170340999,85,31,0.0027183358469757,0.759360628144218,1.01471516287021,0.11123877135403,"R2_peripheral",2
"7Networks_LH_SomMot_4",151.134615741651,0.865296589100613,74,13,0.0026290426075612,0.861605696282148,0.887080805696002,0.0218211578037122,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_5",154.681509999259,0.883573548629472,75,4,0.0026297700194327,0.853384254331949,0.918856013612113,0.0213004823719312,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_6",122.516055391963,0.687893328748397,22,7,0.00203865803996615,0.961593788324304,-1.75949778755776,0,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_7",158.685293142152,0.897713994141207,92,165,0.00276377600053834,0.681910116099028,0.619531485273169,0.306396648592126,"R2_peripheral",2
"7Networks_LH_SomMot_8",174.704741341501,0.98961696462002,110,655,0.00307485504819632,0.584492728293341,1.29621828803699,0.367015520099657,"R2_peripheral",2
"7Networks_LH_SomMot_9",138.701403196714,0.783509460423416,44,0,0.00216924141432475,0.967328523888185,-0.921657645761569,0,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_10",153.757666622026,0.86510519737668,65,4,0.00248317436712059,0.843813064559937,-0.127064815471478,0.148670093965236,"R2_peripheral",2
"7Networks_LH_SomMot_11",140.830746257179,0.803818988017033,68,0,0.00245381754322106,0.872015774206533,0.0725283790823379,0.121911389546385,"R2_peripheral",2
"7Networks_LH_SomMot_12",158.416038728595,0.895624234450481,78,46,0.0026093137547527,0.827349669075964,0.572652371032354,0.122377667173837,"R2_peripheral",2
"7Networks_LH_SomMot_13",158.43164726726,0.900520548770974,84,17,0.00270530982419801,0.791672703922981,0.684393217095717,0.212833266932532,"R2_peripheral",2
"7Networks_LH_SomMot_14",153.354979864693,0.872977958738774,77,0,0.00264195524035846,0.845358642850407,0.584906363064774,0.122790816858931,"R2_peripheral",2
"7Networks_LH_SomMot_15",154.97991086367,0.867991439623317,66,44,0.00254423248150535,0.790871584718822,-0.445659192275461,0.287222866571741,"R2_peripheral",2
"7Networks_LH_SomMot_16",147.358118334659,0.830987813825301,58,6,0.00231257557108618,0.907132783910039,-0.13100673922584,0,"R1_ultra_peripheral",2
"7Networks_LH_DorsAttn_Post_1",147.173981903222,0.816221105515914,51,73,0.00244870420921982,0.607082615870971,-0.524956386527622,0.647945572907274,"R3_nonhub_connector",1
"7Networks_LH_DorsAttn_Post_2",146.344063777608,0.824233201775492,66,4,0.00256827531171691,0.676672358328444,-0.990288900105416,0.513691151358315,"R2_peripheral",2
"7Networks_LH_DorsAttn_Post_3",139.175907979615,0.783222744336478,50,34,0.00245748131918174,0.633396383476446,0.679880775184922,0.513527560694986,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_4",161.54998373239,0.917425936547707,97,82,0.00286282474153546,0.667922728674539,0.633914050708527,0.377746294284985,"R2_peripheral",2
"7Networks_LH_DorsAttn_Post_5",155.080317828896,0.877396178430037,86,47,0.00270793037728939,0.720975295542879,0.120395203700262,0.36932810904883,"R2_peripheral",2
"7Networks_LH_DorsAttn_Post_6",151.184301989885,0.859141547121484,83,10,0.00275650935046822,0.675266726613859,-0.244195201344141,0.47426067368404,"R2_peripheral",2
"7Networks_LH_DorsAttn_Post_7",148.136901954258,0.840612998117667,75,34,0.00269174679416993,0.602960802755111,-0.152397369601776,0.592117177812782,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_8",144.235672701192,0.815875772339876,68,67,0.00252232106000112,0.628494253887508,0.512380837015878,0.506282141856714,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_9",152.899009441476,0.85841324271119,71,83,0.00272496596369009,0.586298857803432,-1.17213615576558,0.622112994860245,"R3_nonhub_connector",1
"7Networks_LH_DorsAttn_Post_10",143.017959441798,0.818727165046351,72,0,0.00256799137882493,0.863273506241479,0.189718946182366,0.16736555730087,"R2_peripheral",2
"7Networks_LH_DorsAttn_FEF_1",161.911927409723,0.917740020385444,106,163,0.00297878135490637,0.600975467830818,0.519891790733721,0.459330131759353,"R2_peripheral",2
"7Networks_LH_DorsAttn_FEF_2",137.093202492147,0.773702690318308,42,2,0.00243956292742865,0.701280779275915,-1.73528764799071,0.544360850500461,"R2_peripheral",2
"7Networks_LH_DorsAttn_PrCv_1",141.36859207455,0.789261504522401,37,0,0.00237302873493498,0.646255538369757,-0.89276868126949,0.515620435936475,"R2_peripheral",3
"7Networks_LH_SalVentAttn_ParOper_1",153.525081733499,0.877414919574587,78,33,0.00270351789164781,0.830521407968958,0.744108873975048,0.121850674265152,"R2_peripheral",2
"7Networks_LH_SalVentAttn_ParOper_2",147.202030278348,0.846878350786224,74,5,0.00258901921150706,0.858609831714674,0.806248798550305,0.0415951398433334,"R1_ultra_peripheral",2
"7Networks_LH_SalVentAttn_ParOper_3",149.384728905296,0.857396323682543,82,24,0.00274436493801023,0.774403222077474,0.485684182320224,0.26915364789827,"R2_peripheral",2
"7Networks_LH_SalVentAttn_FrOperIns_1",148.802469432291,0.844822370631999,70,0,0.00257757427278656,0.896591643426084,0.326914287052904,0.0717883184196962,"R2_peripheral",2
"7Networks_LH_SalVentAttn_FrOperIns_2",141.862180138863,0.797548887047213,45,0,0.0024176655856743,0.827460372663791,-1.25569799230534,0.295583938540312,"R2_peripheral",2
"7Networks_LH_SalVentAttn_FrOperIns_3",125.126408870297,0.716607278536502,52,0,0.00225591743330305,0.964199454084304,-0.487440811168257,0,"R1_ultra_peripheral",2
"7Networks_LH_SalVentAttn_FrOperIns_4",145.50575019255,0.81898101908366,64,8,0.00251502078436992,0.774561060950529,-0.542867162935893,0.282012868755167,"R2_peripheral",2
"7Networks_LH_SalVentAttn_PFCl_1",162.958308458738,0.907022263865551,96,262,0.00286621234688059,0.463018116600456,0.999225921213977,0.528378541409725,"R2_peripheral",3
"7Networks_LH_SalVentAttn_Med_1",169.906273776623,0.967000077459564,101,412,0.0030525885960328,0.650886077415072,1.13555445505708,0.335032277255194,"R2_peripheral",2
"7Networks_LH_SalVentAttn_Med_2",172.846399183966,0.981937894265056,123,981,0.00322162899524512,0.509667221916814,1.00116567870244,0.504598213108891,"R2_peripheral",2
"7Networks_LH_SalVentAttn_Med_3",152.880753891116,0.868925169435848,76,13,0.00267251020189892,0.796569882207457,0.541850092282827,0.127381167794619,"R2_peripheral",2
"7Networks_LH_Limbic_OFC_1",94.1141841988532,0.51327684449256,0,0,NA,0,0,0,"R1_ultra_peripheral",4
"7Networks_LH_Limbic_OFC_2",90.5092077606848,0.488694944192262,0,0,NA,0,0,0,"R1_ultra_peripheral",5
"7Networks_LH_Limbic_TempPole_1",73.2699669628274,0.399932617565541,0,0,NA,0,0,0,"R1_ultra_peripheral",6
"7Networks_LH_Limbic_TempPole_2",59.791064411312,0.320581190379722,0,0,NA,0,0,0,"R1_ultra_peripheral",7
"7Networks_LH_Limbic_TempPole_3",78.8650266113413,0.42880633134592,0,0,NA,0,0,0,"R1_ultra_peripheral",8
"7Networks_LH_Limbic_TempPole_4",112.620528976891,0.627150526348661,4,0,0.00172606549348143,1,-2.63815743110498,0,"R1_ultra_peripheral",2
"7Networks_LH_Cont_Par_1",147.055142621573,0.814805460461784,50,69,0.00243922951560508,0.536550970163824,0.538072007108197,0.349668609519358,"R2_peripheral",3
"7Networks_LH_Cont_Par_2",146.170428748932,0.812565163961239,54,159,0.0025699900014036,0.515814658953804,-0.106330712209763,0.609084980274177,"R2_peripheral",3
"7Networks_LH_Cont_Par_3",154.715700429391,0.875075166548784,86,60,0.00280188935298021,0.653581623850262,-0.328489220181954,0.513256834269019,"R2_peripheral",2
"7Networks_LH_Cont_Temp_1",96.6151009370468,0.523118225823262,8,0,0.00165433022967288,0.893559299329632,-1.36468446875411,0,"R1_ultra_peripheral",3
"7Networks_LH_Cont_OFC_1",129.367476337506,0.713791169857582,12,0,0.00207471373739664,0.912684506074237,-1.23899892819994,0.301689544007696,"R2_peripheral",3
"7Networks_LH_Cont_PFCl_1",131.599384233546,0.717807071431152,35,10,0.00222510190896735,0.671376196737008,0.289065973342731,0.0557307735033443,"R2_peripheral",3
"7Networks_LH_Cont_PFCl_2",149.869100168023,0.825451617560834,52,8,0.00243279471623004,0.60729180813194,1.20044211109174,0.129266310843377,"R2_peripheral",3
"7Networks_LH_Cont_PFCl_3",166.719997483404,0.938850820238934,111,645,0.00305123266193689,0.530563683649186,0.221037307554201,0.51745358381673,"R2_peripheral",2
"7Networks_LH_Cont_PFCl_4",140.207257644721,0.770624247601914,41,116,0.00240398597950371,0.602709472294655,0.365741850591362,0.264089994584849,"R2_peripheral",3
"7Networks_LH_Cont_PFCl_5",159.693807579582,0.885877951293519,83,645,0.00277516235359621,0.425738370146337,0.841653029824211,0.562962773799008,"R2_peripheral",3
"7Networks_LH_Cont_pCun_1",133.304482484154,0.736894855679432,38,53,0.00237855082607029,0.665765992287312,-0.0497579119564251,0.390735289876075,"R2_peripheral",3
"7Networks_LH_Cont_Cing_1",137.05454422516,0.76178668528152,29,5,0.00230209741663884,0.735649735101415,-0.709188883114962,0.502507693615462,"R2_peripheral",3
"7Networks_LH_Cont_Cing_2",132.382722513089,0.734845483376888,9,0,0.00205577418832461,0.945586612602405,-1.48046222775417,0.444855103416481,"R2_peripheral",3
"7Networks_LH_Default_Temp_1",106.986041004291,0.575307590292676,16,0,0.00170666825945567,0.983486836865719,-0.875218523824701,0,"R1_ultra_peripheral",3
"7Networks_LH_Default_Temp_2",85.1466843044227,0.455118862700295,9,0,0.00161173655777091,0.888417662606227,-1.32247722907439,0,"R1_ultra_peripheral",3
"7Networks_LH_Default_Temp_3",125.637284287195,0.685521609342991,28,0,0.00200862955183939,0.824326195061761,-0.264373250374829,0.0668408056051772,"R2_peripheral",3
"7Networks_LH_Default_Temp_4",118.912811709229,0.643927438034305,31,29,0.00206690642316001,0.733708727484368,0.128734291333638,0,"R1_ultra_peripheral",3
"7Networks_LH_Default_Temp_5",149.666354126731,0.831713621730885,56,140,0.00249636040803449,0.539471833653343,-0.500140808538174,0.537614846853922,"R2_peripheral",3
