"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",134.583907108351,0.760546593319064,33,80,0.0023891959400539,0.550886338362846,-0.504770297424004,0.578446811237882,"R2_peripheral",1
"7Networks_LH_Vis_2",113.043247737936,0.624639819706227,19,26,0.00181787364144419,0.784580936529665,-0.0788638575913568,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_3",119.330783864981,0.67396475933955,27,7,0.00224857131587755,0.647964619921313,-0.349591972969655,0.416348608605376,"R2_peripheral",1
"7Networks_LH_Vis_4",138.662663400931,0.783424741094889,46,227,0.00249873918640062,0.561780102846887,1.13884671517283,0.445459745966832,"R2_peripheral",1
"7Networks_LH_Vis_5",84.6732407535459,0.467990525587259,6,5,0.00129919750430042,0.455431310445317,-1.70030750430424,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",108.516802682347,0.618639587489606,8,0,0.00179268281619698,1,-1.50320248320237,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_7",96.2018892316116,0.531355243615375,10,0,0.00155168786111773,0.836172450640795,-1.21154647058157,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_8",137.428410554602,0.778198801360985,61,494,0.00263649389015553,0.558216932843511,0.543980112018973,0.57937205327,"R2_peripheral",1
"7Networks_LH_Vis_9",57.0971913928931,0.308683206902523,3,1,0.00121124950970577,0.347831774542494,-1.99017924221204,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",147.051158153804,0.83497821773574,69,524,0.00270597476226267,0.555077021833971,1.58495854890801,0.568944118944789,"R2_peripheral",1
"7Networks_LH_Vis_11",85.8625518902288,0.470619100896531,14,192,0.00173373966251451,0.795373016229182,-0.701351402249362,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_12",136.855379054431,0.782032582142783,47,11,0.0025263674236488,0.662814525128043,0.351613809572988,0.57297842338078,"R2_peripheral",1
"7Networks_LH_Vis_13",130.782394854168,0.733382979946201,30,431,0.00230621170174866,0.57479837097749,0.708388671231945,0.190880724418578,"R2_peripheral",1
"7Networks_LH_Vis_14",96.803919205377,0.531872252814609,19,10,0.00190195210533818,0.78049855565642,0.0311567354995092,0,"R1_ultra_peripheral",1
"7Networks_LH_SomMot_1",137.923100799808,0.787963650349254,60,0,0.0024828764285555,0.860343534793125,-0.529821960350904,0.301258641302356,"R2_peripheral",2
"7Networks_LH_SomMot_2",154.539845869004,0.886130850092185,78,72,0.00280220806725385,0.747270237090532,1.17142902881395,0.284845480106716,"R2_peripheral",2
"7Networks_LH_SomMot_3",143.825505482458,0.824420473210183,60,12,0.00252361019564248,0.861528789046539,0.852290708149811,0.0721175219462906,"R2_peripheral",2
"7Networks_LH_SomMot_4",135.529777605886,0.776905243217913,54,16,0.00247941335154519,0.884541740459254,0.424971834812822,0.0542762074499793,"R2_peripheral",2
"7Networks_LH_SomMot_5",136.385313499048,0.782736871304273,54,0,0.00246053060099166,0.911296477893589,0.544677145838572,0.0254379486382728,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_6",91.0015879191754,0.516753727987216,23,0,0.00203356775400252,0.981543261225081,-1.95655866964946,0,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_7",140.684272764381,0.805051046275502,51,87,0.00250851038383162,0.89459038098249,0.218773795732261,0.0553663365362322,"R2_peripheral",2
"7Networks_LH_SomMot_8",164.086836700938,0.940318007817663,96,142,0.00298746091885543,0.620171738732854,0.985752425327074,0.465404935354869,"R2_peripheral",2
"7Networks_LH_SomMot_9",137.845048702807,0.78717334473519,46,0,0.00247885053414245,0.814083336478671,-1.9224733551397,0.549194386253397,"R2_peripheral",2
"7Networks_LH_SomMot_10",161.743662740699,0.925129767281464,94,66,0.0029926942864061,0.630130016092011,0.859123659995364,0.459419397553418,"R2_peripheral",2
"7Networks_LH_SomMot_11",138.761773523086,0.803105818202733,73,12,0.00269576473321255,0.75093486181388,0.338562341761898,0.354136733362722,"R2_peripheral",2
"7Networks_LH_SomMot_12",154.205128387004,0.885003128064756,83,2,0.00284497825301272,0.717229219646641,0.808597501658053,0.366167785409396,"R2_peripheral",2
