"dataset","pipeline","has_gsr","metric","r","p_cor","p_wilcoxon","mean_diff_pct"
"ds006072","OC+Siegel",FALSE,"mean_strength",0.523684853099804,0.0805579719717318,0.00252617426850217,-40.0274762561667
"ds006072","OC+Siegel",FALSE,"global_efficiency",0.489374383073354,0.106364380781062,0.00252617426850217,-29.645395049456
"ds006072","OC+Siegel",FALSE,"clustering",0.296558395790003,0.349272894845703,0.00252617426850217,-10.7706511166712
"ds006072","OC+Siegel",FALSE,"modularity",0.855148134285073,0.000391774411948856,0.0167287003897047,17.6589993579859
"ds006072","OC+aCompCor",FALSE,"mean_strength",0.774968721202455,0.00307071487587561,0.00252617426850217,-30.1588997616774
"ds006072","OC+aCompCor",FALSE,"global_efficiency",0.749767569787712,0.00498554954844276,0.00252617426850217,-25.9921818233938
"ds006072","OC+aCompCor",FALSE,"clustering",0.663523987508461,0.0186480369319302,0.0085899572511856,-4.40574622189622
"ds006072","OC+aCompCor",FALSE,"modularity",0.910919547462044,3.79811542216196e-05,0.289587424426888,8.68306401196518
"ds006072","OC+24P",FALSE,"mean_strength",0.969421789579123,2.00008223658342e-07,0.00252617426850217,-16.2593225329525
"ds006072","OC+24P",FALSE,"global_efficiency",0.961680180485804,6.10136284009931e-07,0.00252617426850217,-14.7069552206715
"ds006072","OC+24P",FALSE,"clustering",0.716783737483088,0.00871078685833358,0.00326371690167023,-3.82208325465303
"ds006072","OC+24P",FALSE,"modularity",0.979902078864321,2.49691037037233e-08,0.020658377241239,-5.25561924661694
"ds006072","OC+36P+GSR",TRUE,"mean_strength",-0.659073283238479,0.0197460477261001,0.00252617426850217,-62.7003710193923
"ds006072","OC+36P+GSR",TRUE,"global_efficiency",-0.622595707332428,0.0306003545270881,0.00252617426850217,-51.6819321613914
"ds006072","OC+36P+GSR",TRUE,"clustering",-0.452180704544231,0.13997626483931,0.00252617426850217,-16.6115854882864
"ds006072","OC+36P+GSR",TRUE,"modularity",0.820326899771806,0.001081387034954,0.00252617426850217,56.5089081412441
"ds006072","TEDANA",FALSE,"mean_strength",0.939100993735915,5.95255144024585e-06,0.0253698598220537,-7.27925016661205
"ds006072","TEDANA",FALSE,"global_efficiency",0.950072753921881,2.2462215044394e-06,0.0652572567829591,-3.11866800281772
"ds006072","TEDANA",FALSE,"clustering",0.853373044137019,0.000415073437993767,0.00252617426850217,-7.45292662750123
"ds006072","TEDANA",FALSE,"modularity",0.870328849322382,0.000231324780358137,0.72408166091539,6.29680185787411
"ds006072","TEDANA+aCompCor",FALSE,"mean_strength",0.812768580170553,0.00131093760238777,0.00252617426850217,-20.2350002516682
"ds006072","TEDANA+aCompCor",FALSE,"global_efficiency",0.804549118181694,0.00160127045065454,0.00252617426850217,-16.4431881558231
"ds006072","TEDANA+aCompCor",FALSE,"clustering",0.903873011474907,5.49030847416109e-05,0.0376328835201408,-1.44829270942125
"ds006072","TEDANA+aCompCor",FALSE,"modularity",0.931827005018959,1.03351469328122e-05,0.00535526358980952,14.8460375773062
