"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",124.339063848452,0.783405166775003,46,3,0.00202395177217016,0.672626451955624,0.833152617849325,0.38084868661193,"R2_peripheral",1
"7Networks_LH_Vis_2",124.594199314452,0.773713602371082,33,352,0.0019992758107698,0.743467112773388,0.706112922458445,0.130722143289059,"R2_peripheral",1
"7Networks_LH_Vis_3",121.045215722928,0.756625077859682,38,50,0.00203548380445122,0.677584511166152,0.190304710853605,0.397336085819444,"R2_peripheral",1
"7Networks_LH_Vis_4",126.613359779457,0.799739731769423,48,116,0.00204716232194725,0.624364625199878,0.916407348235184,0.421574316366063,"R2_peripheral",1
"7Networks_LH_Vis_5",50.6726636125106,0.308178022017757,1,0,0.00108518989363685,0,-2.58890016458823,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",113.552013622238,0.713668005189197,18,0,0.00177263529434213,0.931062488626906,-1.21197399459076,0.32236199155716,"R2_peripheral",1
"7Networks_LH_Vis_7",90.6778873045863,0.565632687398781,20,0,0.0016282671013671,0.904885262391111,-0.499214636428658,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_8",125.94201624576,0.78545110807567,47,130,0.0021859244605794,0.573009159817154,-0.432259050467026,0.596230415828127,"R2_peripheral",1
"7Networks_LH_Vis_9",87.4866287745885,0.538199143998684,15,0,0.00152507504177968,0.935539202867136,-1.13663289356112,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",122.701190786374,0.776293633336349,40,28,0.00202282893987518,0.700968471583495,0.79605364438428,0.37272447967661,"R2_peripheral",1
"7Networks_LH_Vis_11",104.450920126225,0.649180112549704,30,11,0.00184265050321532,0.795481259326807,0.557570648898,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_12",124.623866993915,0.784338651896208,43,93,0.00213079181644681,0.634699699420102,0.128918631128616,0.534905583251003,"R2_peripheral",1
"7Networks_LH_Vis_13",130.424426478132,0.820869513921028,48,135,0.00210184460954909,0.629442815636927,1.35476217690039,0.394154308036784,"R2_peripheral",1
"7Networks_LH_Vis_14",106.233198510538,0.664318285372669,30,3,0.00185207510366954,0.807208013758681,0.930696532463325,0,"R1_ultra_peripheral",1
"7Networks_LH_SomMot_1",133.698759493003,0.856539275961365,77,20,0.00234836415512299,0.82937787525609,0.419136719929473,0.163358351505609,"R2_peripheral",2
"7Networks_LH_SomMot_2",151.512820672221,0.9680579449971,103,75,0.00264974563935646,0.643678006559347,1.0395263869005,0.373222129335038,"R2_peripheral",2
"7Networks_LH_SomMot_3",141.461409045634,0.905445465043125,81,10,0.00240783071817875,0.788512728281524,0.857993887325185,0.145704848252488,"R2_peripheral",2
"7Networks_LH_SomMot_4",133.020480489343,0.86335570783916,73,18,0.00236376639450407,0.876016459914944,0.927215536244789,0.0422476997434924,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_5",135.925948930576,0.879264459278545,76,3,0.00236190146192749,0.851163418002048,0.942359494506277,0.0753607776007379,"R2_peripheral",2
"7Networks_LH_SomMot_6",105.908829772605,0.670835572062243,27,1,0.0018528572895547,0.977604801819488,-1.67564569636064,0,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_7",139.480044085467,0.89122402253212,91,174,0.00246449510307333,0.689119500279072,0.589096688257934,0.318329605218126,"R2_peripheral",2
"7Networks_LH_SomMot_8",153.297979800534,0.980416665877887,106,370,0.00269985353784585,0.612023056640037,1.20518101334842,0.372106630381108,"R2_peripheral",2
"7Networks_LH_SomMot_9",122.174861369522,0.778343024283926,47,0,0.00195983394261996,0.973329617077727,-0.859336023099899,0,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_10",133.524396919234,0.848775678901264,67,4,0.00220600948345208,0.844999787350982,-0.040870021566273,0.139351105827009,"R2_peripheral",2
"7Networks_LH_SomMot_11",123.398925994062,0.799509328345214,71,0,0.00222090013578098,0.869396786486721,0.180353167803232,0.16030223653957,"R2_peripheral",2
"7Networks_LH_SomMot_12",137.901828420923,0.880127650106439,76,36,0.00230841868215983,0.841307638767056,0.428264419752517,0.159228452477416,"R2_peripheral",2
"7Networks_LH_SomMot_13",139.48268921283,0.896711657882052,80,17,0.00238442948763426,0.822174528393072,0.641966544854601,0.202452693766773,"R2_peripheral",2
"7Networks_LH_SomMot_14",135.9213927497,0.875100317133281,81,1,0.00238524362489073,0.819384066374439,0.614346579712606,0.203923634911135,"R2_peripheral",2
"7Networks_LH_SomMot_15",135.171469006658,0.851541268293212,67,44,0.00226574446906077,0.783977797140659,-0.5849329904459,0.331899465013967,"R2_peripheral",2
"7Networks_LH_SomMot_16",128.49644636535,0.819597638744431,59,1,0.00208708239170656,0.921143144656322,-0.0518099003985993,0,"R1_ultra_peripheral",2
"7Networks_LH_DorsAttn_Post_1",127.616298202244,0.794863531547044,47,36,0.0021437015050603,0.625625451846738,-0.749891755257307,0.637596177255234,"R3_nonhub_connector",1
"7Networks_LH_DorsAttn_Post_2",127.149768809684,0.806835616955004,68,5,0.00230563875797129,0.682783008562108,-1.20933013353325,0.562259467653163,"R2_peripheral",2
"7Networks_LH_DorsAttn_Post_3",123.359604767137,0.782590545231593,51,51,0.00222557085932948,0.652295279454059,0.59050077093759,0.542869741138274,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_4",141.852873140236,0.91127820305545,96,81,0.0025476936433397,0.677740448505085,0.563409023153736,0.39955924020473,"R2_peripheral",2
"7Networks_LH_DorsAttn_Post_5",136.086075443617,0.869696831177622,87,53,0.00241051331315379,0.709487446474772,0.00317151405569099,0.415720205475041,"R2_peripheral",2
"7Networks_LH_DorsAttn_Post_6",132.459909824094,0.852237999461449,85,10,0.00246701314392743,0.661810568060799,-0.406153291230424,0.526534909990076,"R2_peripheral",2
"7Networks_LH_DorsAttn_Post_7",129.025233680787,0.828171116601685,77,44,0.00241101767413171,0.588588958877447,-0.298109196744373,0.627591283292472,"R3_nonhub_connector",1
"7Networks_LH_DorsAttn_Post_8",126.507967743509,0.809856866849938,73,85,0.00228267055355986,0.628803650450659,0.3790821458433,0.546933091584259,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_9",132.219904987558,0.836429831969004,71,106,0.00244709442713329,0.578470763501576,-0.174147770212483,0.628034773400729,"R3_nonhub_connector",3
"7Networks_LH_DorsAttn_Post_10",122.856291072708,0.799111267432564,74,0,0.00229751213531346,0.857544217302497,0.177807786626285,0.206720813678093,"R2_peripheral",2
