"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",52.3995355980055,0.526909295136949,27,0,0.00123622670660615,0.912169300269523,0.691178133428624,0.147343129475497,"R2_peripheral",1
"7Networks_LH_Vis_2",63.3691872953103,0.665119154070891,34,165,0.00120462005969795,0.702574069882972,0.12221367853312,0.287683572440913,"R2_peripheral",1
"7Networks_LH_Vis_3",66.60155106255,0.724276134191084,44,252,0.00140108095367739,0.574485396557064,-0.348013284888897,0.556837415216174,"R2_peripheral",1
"7Networks_LH_Vis_4",53.1079683435428,0.526316267808985,28,0,0.00121435668414138,0.890684555380003,1.07484701042588,0.165713673057517,"R2_peripheral",1
"7Networks_LH_Vis_5",45.0747951244673,0.511351979860445,8,104,0.00103224474974823,0.518142177751581,-2.06964827209034,0.45085962045925,"R2_peripheral",2
"7Networks_LH_Vis_6",48.6410110092892,0.495676748688403,26,0,0.00115261311721476,0.753813122237786,-0.737298214621051,0.286289327655967,"R2_peripheral",1
"7Networks_LH_Vis_7",47.143193718599,0.474827034038167,27,2,0.0011539944849811,0.90095126681329,0.35439307499682,0.199453735777074,"R2_peripheral",1
"7Networks_LH_Vis_8",75.9601226287261,0.824248422433862,80,1764,0.00160876986451506,0.305738201827967,-1.14478483410067,0.709985439526098,"R3_nonhub_connector",1
"7Networks_LH_Vis_9",42.9805399486615,0.446327710905704,14,26,0.00101356090255201,0.739829982896138,-1.5680260653363,0.222791657604887,"R2_peripheral",1
"7Networks_LH_Vis_10",47.5978085415999,0.466583057058337,24,0,0.00120658826645612,0.959460018366978,0.89888599364192,0.0793593675478279,"R2_peripheral",1
"7Networks_LH_Vis_11",51.0617571021836,0.524121853319276,30,1,0.00131253261431623,0.800442746339213,0.346256772730977,0.248771778448654,"R2_peripheral",1
"7Networks_LH_Vis_12",51.6069913844505,0.528114637444511,37,556,0.00137433954284904,0.529538068665102,-0.214827209872537,0.485134599171347,"R2_peripheral",1
"7Networks_LH_Vis_13",51.1500748938656,0.518334628551818,27,28,0.00126180619816058,0.913337382991954,0.627101877826662,0.204454525124028,"R2_peripheral",1
"7Networks_LH_Vis_14",55.4463299127936,0.563702076242668,31,218,0.00131601254606023,0.816491285982786,0.943185384645001,0.247242430998248,"R2_peripheral",1
"7Networks_LH_SomMot_1",66.1723949527655,0.812818439632394,66,41,0.00146358949072909,0.683472472081262,0.415743303766467,0.352040398806146,"R2_peripheral",2
"7Networks_LH_SomMot_2",76.6485503194088,0.890831486605736,65,373,0.00145197704655932,0.667155639257571,0.906554931028552,0.142046432630339,"R2_peripheral",2
"7Networks_LH_SomMot_3",72.1723459276832,0.857647015015534,68,83,0.00142346110384395,0.67878277960494,1.52016411303202,0.0366764973319639,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_4",56.9816167883608,0.700017478675392,52,187,0.00136847696687635,0.809283745454368,0.87803336048386,0.0211957997478973,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_5",73.512798451284,0.89410512102699,69,71,0.00146758396468073,0.71265973569678,1.63764487114704,0.114653035042109,"R2_peripheral",2
"7Networks_LH_SomMot_6",29.7229804050331,0.316280907049505,10,9,0.00101900916828494,0.961474111933149,-1.6236475891328,0,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_7",67.8938080506885,0.803165429322625,67,176,0.00149639994182529,0.626363871621435,0.298121567215317,0.340939194994922,"R2_peripheral",2
"7Networks_LH_SomMot_8",82.3083671879144,0.995187693153418,76,457,0.00162021580239678,0.656590740177975,1.76658198637274,0.186089845192023,"R2_peripheral",2
"7Networks_LH_SomMot_9",52.8547455780633,0.636015664305627,30,0,0.00121252922926299,0.874531961919288,-0.901632522817461,0.174932850828351,"R2_peripheral",2
"7Networks_LH_SomMot_10",62.7077642068277,0.754721055583522,62,21,0.00137181171319672,0.736560818732166,0.747591342630777,0.112980607669598,"R2_peripheral",2
"7Networks_LH_SomMot_11",62.8840300742101,0.761772946694871,54,109,0.00148171915724472,0.715057250528811,0.219991981752669,0.278348586144756,"R2_peripheral",2
