"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",96.4853309654931,0.714134749775225,35,27,0.00187794018569035,0.620883917252545,-0.611546253691819,0.469378160389064,"R2_peripheral",1
"7Networks_LH_Vis_2",80.0174326102786,0.567636783062013,24,143,0.00161804083385587,0.785133795084577,-0.166781106187675,0.0548682657114565,"R2_peripheral",1
"7Networks_LH_Vis_3",94.4316813341568,0.704487932150231,55,27,0.00198575141333769,0.600066021569335,0.805400736764315,0.415673405094805,"R2_peripheral",1
"7Networks_LH_Vis_4",102.470051971632,0.760877394028723,50,108,0.00198277490013381,0.616580951453238,1.09263653255517,0.331513827055663,"R2_peripheral",1
"7Networks_LH_Vis_5",63.1602926560669,0.44467423099445,10,0,0.00123511412044547,0.903617615369865,-1.66916817930921,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",80.4561240299923,0.606626886885653,20,0,0.00161341420470681,0.902620146066644,-1.16694069820261,0.230925808343016,"R2_peripheral",1
"7Networks_LH_Vis_7",62.9542656709537,0.44330503122491,17,0,0.00133580006479326,0.820766462789172,-0.998068981349443,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_8",104.219678563162,0.780830188341429,74,280,0.00218024425930864,0.571366148454002,0.877742205808915,0.55044347665824,"R2_peripheral",1
"7Networks_LH_Vis_9",42.7739706279162,0.286813893685496,8,0,0.00112658033004695,0.927094701367107,-1.81198380310489,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",110.309889681716,0.825414501342185,76,350,0.00216929862570705,0.581887253870808,1.46239806247427,0.521052838562949,"R2_peripheral",1
"7Networks_LH_Vis_11",64.2751658739097,0.45323639522561,23,90,0.00153920187294048,0.762151006000176,-0.29506338717888,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_12",100.070931023311,0.753948968826608,56,5,0.00204550303213155,0.664165954811374,0.411330328247139,0.507242695668215,"R2_peripheral",1
