"dataset","pipeline","has_gsr","metric","r","r_ci_low","r_ci_high","p_cor","p_bias","median_diff_pct"
"ds006072","TEDANA",FALSE,"mean_strength",0.742910254747925,0.294623580437931,0.923199104933905,0.00563550676702214,0.0916805301459911,8.96820306290948
"ds006072","TEDANA",FALSE,"global_efficiency",0.765356893593981,0.341420796697602,0.930532031581506,0.00371919286179331,0.0167287003897047,9.37897561822815
"ds006072","TEDANA",FALSE,"clustering",0.840705023146188,0.515544177805478,0.954215070855595,0.000614234863875959,0.00252617426850217,-6.62146716288412
"ds006072","TEDANA",FALSE,"modularity",0.817978114257784,0.460034717918006,0.947218473740566,0.00114910402266455,0.289587424426888,-5.75668465255494
"ds006072","TEDANA+24P",FALSE,"mean_strength",0.884160181147184,0.629865539265237,0.96725588877602,0.000134832291205274,0.00326371690167023,21.575815804603
"ds006072","TEDANA+24P",FALSE,"global_efficiency",0.880851430485375,0.62075532360801,0.966278134247061,0.000154327134255159,0.00326371690167023,16.9909469485576
"ds006072","TEDANA+24P",FALSE,"clustering",0.955736485885493,0.845700513585403,0.987820066228851,1.24213336900603e-06,0.107801825375366,0.666019719480644
"ds006072","TEDANA+24P",FALSE,"modularity",0.969073310763023,0.890332619819941,0.991531800230193,2.11543389032722e-07,0.0167287003897047,-6.39370975237971
"ds006072","OC+Siegel",FALSE,"mean_strength",0.513683615278798,-0.085391847882121,0.839961377964836,0.0875849494385708,0.0085899572511856,-32.3362689008118
"ds006072","OC+Siegel",FALSE,"global_efficiency",0.498621958176689,-0.105457320069921,0.833895952671575,0.0989315815265347,0.0134711970182132,-22.1668223152015
"ds006072","OC+Siegel",FALSE,"clustering",0.362459084279425,-0.266978239339152,0.775122857659228,0.24691108443468,0.00252617426850217,-9.11860920840074
"ds006072","OC+Siegel",FALSE,"modularity",0.836792699972658,0.505789990704028,0.95301942763393,0.000688662638832762,0.146707642066199,2.72152806566227
"ds006072","OC+24P",FALSE,"mean_strength",0.819795316966062,0.464372569063814,0.947782474412245,0.00109643635803773,0.968712415392996,-0.321677680584594
"ds006072","OC+24P",FALSE,"global_efficiency",0.81563571179588,0.454468255589648,0.946490285979591,0.00121984317237851,0.610120154797508,-1.67818639925819
"ds006072","OC+24P",FALSE,"clustering",0.734770617604849,0.278168976146768,0.920507195444899,0.00648762425977454,0.0107874492546704,-3.08138130504503
"ds006072","OC+24P",FALSE,"modularity",0.968218245597384,0.887424986083997,0.99129492523856,2.42100259687409e-07,0.00252617426850217,-10.4097138593464
"ds006072","OC+aCompCor",FALSE,"mean_strength",0.977964671059608,0.920952991244507,0.993986110541526,3.94304087075338e-08,0.00252617426850217,-12.4529257736171
"ds006072","OC+aCompCor",FALSE,"global_efficiency",0.973210966137918,0.90449396255367,0.992675929600295,1.03883300252212e-07,0.00252617426850217,-12.2820121269099
"ds006072","OC+aCompCor",FALSE,"clustering",0.840115934928711,0.514070056513186,0.954035271548319,0.000625023324763765,0.020658377241239,-2.60019552037419
"ds006072","OC+aCompCor",FALSE,"modularity",0.988909120889103,0.959636005524651,0.996985202243287,1.29728552868894e-09,0.00252617426850217,-5.41315710578527
"ds006072","OC+36P+GSR",TRUE,"mean_strength",-0.404029069093394,-0.79385678300778,0.221151624380034,0.192718648525179,0.00252617426850217,-56.6723617842437
"ds006072","OC+36P+GSR",TRUE,"global_efficiency",-0.354787494051532,-0.771584405576279,0.275135273455856,0.257796219605309,0.00252617426850217,-43.9753288512523
"ds006072","OC+36P+GSR",TRUE,"clustering",-0.4536941942407,-0.815309041481071,0.162525006514348,0.138489590323246,0.00252617426850217,-14.5273194437861
"ds006072","OC+36P+GSR",TRUE,"modularity",0.83471286058862,0.500638774086733,0.952382331038115,0.000730969037462327,0.00252617426850217,41.7765700292899
