"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",130.418257230101,0.73970667961016,21,9,0.00200610144987674,0.650673513619918,-0.639128223938196,0.490984733616366,"R2_peripheral",1
"7Networks_LH_Vis_2",103.902166949474,0.577699601761636,18,16,0.00154422041034139,0.687372504959724,0.00594435307480365,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_3",101.176855763176,0.566679105835176,14,3,0.00166764739302573,0.810011195406883,-0.638610365362507,0.117111904656985,"R2_peripheral",1
"7Networks_LH_Vis_4",138.299704319636,0.782757037385912,37,190,0.00212968522823132,0.548078664642664,0.966234753720759,0.423079515187798,"R2_peripheral",1
"7Networks_LH_Vis_5",66.2785960800906,0.360736798680672,4,2,0.00104344416537179,0.66199682833602,-1.55406715232183,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",109.359793317821,0.621823786624354,6,0,0.00171666543744613,1,-1.52226899177574,0.261191188135494,"R2_peripheral",1
"7Networks_LH_Vis_7",104.636134731236,0.587359933411184,3,0,0.00128924598914491,1,-1.73155821061994,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_8",129.738301245004,0.729435252129863,33,295,0.00204517992848972,0.546586441948996,0.090518814229937,0.483528137011935,"R2_peripheral",1
"7Networks_LH_Vis_9",41.5518143732531,0.215843745006089,3,0,0.00104544927822596,1,-1.67517646473213,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",140.208453022516,0.79430392640726,43,202,0.0021686317614682,0.539999416834242,1.52466437974556,0.416030894321277,"R2_peripheral",1
"7Networks_LH_Vis_11",68.1493710456219,0.368372559279763,17,363,0.00143327132472267,0.543252412648794,-0.130750452768492,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_12",129.537375725759,0.741435933647824,40,17,0.00211976997530984,0.58636436037197,0.953335280577793,0.43540719795508,"R2_peripheral",1
"7Networks_LH_Vis_13",125.11981431125,0.70262397286041,32,581,0.00199277834129495,0.544947725199204,1.47496489589624,0.0997791763612965,"R2_peripheral",1
"7Networks_LH_Vis_14",91.1375881090933,0.500123865593535,17,108,0.00161295470772903,0.767323188329603,0.213370235577505,0,"R1_ultra_peripheral",1
"7Networks_LH_SomMot_1",133.8539605688,0.776556401228691,53,0,0.00217240577959574,0.789633967247804,-1.18843727915324,0.557679839317215,"R2_peripheral",2
"7Networks_LH_SomMot_2",145.766241191998,0.841149143106829,71,110,0.00235099777568116,0.719949957201513,1.12891215515982,0.265764266955905,"R2_peripheral",2
"7Networks_LH_SomMot_3",144.127050475647,0.83325884590467,65,13,0.00227299516932913,0.762648228481367,1.22320903857201,0.175720349621458,"R2_peripheral",2
