"dataset","pipeline","has_gsr","metric","r","p_cor","p_wilcoxon","mean_diff_pct"
"ds006072","OC+Siegel",FALSE,"mean_strength",0.398280558713757,0.199730932694495,0.00326371690167023,-36.3023284883782
"ds006072","OC+Siegel",FALSE,"global_efficiency",0.3725965719229,0.232949322885786,0.00419259258389319,-27.2438211007766
"ds006072","OC+Siegel",FALSE,"clustering",0.0216894623366546,0.946657054626746,0.00326371690167023,-8.26825981038967
"ds006072","OC+Siegel",FALSE,"modularity",0.780271196200503,0.00275200002042974,0.107801825375366,11.660818767547
"ds006072","OC+aCompCor",FALSE,"mean_strength",0.669244591473126,0.0173032254402733,0.00252617426850217,-27.7535203345802
"ds006072","OC+aCompCor",FALSE,"global_efficiency",0.65764701204536,0.0201077023927202,0.00252617426850217,-24.6145476195401
"ds006072","OC+aCompCor",FALSE,"clustering",0.413312817341416,0.181718917009823,0.410116991679081,-1.66360874416861
"ds006072","OC+aCompCor",FALSE,"modularity",0.847740166317947,0.000496205276954134,0.72408166091539,3.24486137552433
"ds006072","OC+36P+GSR",TRUE,"mean_strength",-0.399856018574831,0.197793778786195,0.00252617426850217,-61.1778377984825
"ds006072","OC+36P+GSR",TRUE,"global_efficiency",-0.41557509346937,0.179099146400237,0.00252617426850217,-50.6186168834449
"ds006072","OC+36P+GSR",TRUE,"clustering",-0.600766568551802,0.0388472905251763,0.00252617426850217,-14.111872232287
"ds006072","OC+36P+GSR",TRUE,"modularity",0.745619950111536,0.00537148096241056,0.00252617426850217,48.0542434576519
