"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",126.603142997499,0.787891840609417,45,0,0.0020533970622311,0.71112953290383,0.747277690283562,0.347667570953659,"R2_peripheral",1
"7Networks_LH_Vis_2",131.550042444594,0.809801608122244,40,363,0.00211126847933764,0.701890468689336,0.889948717311266,0.26723412712741,"R2_peripheral",1
"7Networks_LH_Vis_3",124.565921321663,0.770419721770215,41,27,0.00211223310836438,0.704766081019454,0.26456765010517,0.395310620514243,"R2_peripheral",1
"7Networks_LH_Vis_4",130.619591363043,0.814230443770131,51,103,0.00210635726682745,0.631731467216517,1.12088116465835,0.393923281036913,"R2_peripheral",1
"7Networks_LH_Vis_5",61.6136784919133,0.371361973720743,2,0,0.00114355420741471,1,-2.52788489649345,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",113.722200011889,0.704382703495241,19,0,0.00180660848567833,0.864319049821475,-1.34443842496591,0.381782950938696,"R2_peripheral",1
"7Networks_LH_Vis_7",104.966720602959,0.647385567359493,25,0,0.00175616704016669,0.8680680374936,-0.0371370636958061,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_8",129.681622440709,0.798863786903304,49,109,0.00221900922608433,0.603943230058534,-0.39849865672418,0.582905958279267,"R2_peripheral",1
"7Networks_LH_Vis_9",93.1392937470389,0.569418652611952,16,17,0.00159323527569849,0.862708970621274,-1.07976945304789,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",120.312416238974,0.750792327014604,33,2,0.0019867954478746,0.793335705732085,0.524150326609307,0.243261276500108,"R2_peripheral",1
"7Networks_LH_Vis_11",112.212729235948,0.69293501278111,30,9,0.00192253149977671,0.85087002558615,0.541475029899471,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_12",125.927837104941,0.781017243074919,45,212,0.00218966351577803,0.602642704510433,0.0490462648406874,0.528825452109119,"R2_peripheral",1
"7Networks_LH_Vis_13",134.606055171471,0.836690850218538,56,241,0.00224084199947814,0.60240902421142,1.27621143527628,0.477749279922463,"R2_peripheral",1
"7Networks_LH_Vis_14",111.880931272278,0.693595480001621,31,2,0.00195023644804454,0.85276613378796,0.824326515355429,0.0423429100238788,"R1_ultra_peripheral",1
"7Networks_LH_SomMot_1",136.229847605612,0.85658446106064,78,31,0.0023783057270965,0.803571964659452,0.485494372427207,0.142389686365611,"R2_peripheral",2
"7Networks_LH_SomMot_2",151.075340572077,0.949424313644729,102,69,0.00264717210695738,0.634542984787703,1.01401586821621,0.355792497717502,"R2_peripheral",2
"7Networks_LH_SomMot_3",141.44099042982,0.889384533100895,77,0,0.00238715565206057,0.809905728081667,0.812260535786553,0.0790998382309864,"R2_peripheral",2
"7Networks_LH_SomMot_4",133.898102946647,0.853065851699585,74,17,0.0023679677918054,0.851411203062348,0.985016918371147,0.0196859641990448,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_5",137.043665544278,0.870986064266584,75,2,0.00237416904304407,0.84258737391662,0.986338240196997,0.0377882215883905,"R1_ultra_peripheral",2
"7Networks_LH_SomMot_6",109.422970461252,0.682665790105047,31,1,0.00188802077229995,0.984597244949659,-1.379168648744,0,"R1_ultra_peripheral",2
