subj,ses,task,run,integrity_ok,missing_files,missing_echoes,n_frames,fd_median,fd_max,fd_pct_over_0p5,dvars_median,dvars_max,dvars_pct_over_1p5,n_motion_outliers,n_motion_outliers_pct,n_nss_outliers,fd_gs_corr,n_acompcor_csf,n_acompcor_wm,n_acompcor_combined,n_tcompcor,t2star_median,t2star_mode_ms,t2star_pct_plausible,t2star_pct_failed,mask_volume_ml,mask_n_components,tsnr_echo_1,tsnr_echo_2,tsnr_echo_3,tsnr_echo_4,tsnr_echo_5,verdict
sub-P1,ses-11,BOLDREST1,run-1,True,,,513,0.10317982517460189,0.3992297663774393,0.0,1.5957474999999999,2.74147,67.1875,344,67.05653021442495,2,-0.14538064615675156,14,58,49,6,45.4248046875,45.5,77.54945018535766,5.044968100811008,2205.448,1,50.606998443603516,31.784542083740234,19.62598419189453,12.518760681152344,8.947890281677246,✗ FAIL (motion_outliers>50%)
sub-P1,ses-11,BOLDREST1,run-2,True,,,513,0.1038818609889906,0.4114793125700607,0.0,1.5909115,2.690389,65.625,336,65.49707602339181,2,-0.14635671363330544,13,58,49,6,45.51408767700195,45.5,78.47954678303452,4.938035594148766,2205.672,1,50.521263122558594,31.741750717163086,19.63117790222168,12.519800186157227,8.962690353393555,✗ FAIL (motion_outliers>50%)
sub-P1,ses-6,BOLDREST1,run-1,True,,,513,0.1117499600318943,0.283995667878381,0.0,1.429983,2.056529,31.640625,162,31.57894736842105,2,-0.09086997466716758,15,58,51,5,45.616546630859375,43.5,76.39975097528541,5.262673184532471,2215.392,1,40.91629409790039,27.11882972717285,17.316936492919922,11.168961524963379,8.14892578125,"⚠ REVISAR (DVARS spikes>15%, motion_outliers>20%, aCompCor combined>30, T2*plaus<80%, mask=2215ml)"
sub-P1,ses-6,BOLDREST1,run-2,True,,,513,0.11155389470763125,0.2783065542625015,0.0,1.4110555,2.041305,29.296875,150,29.239766081871345,2,-0.09705782543170924,15,58,51,6,45.52423858642578,46.5,77.15297788382124,5.153344957327705,2216.024,1,40.947391510009766,27.119935989379883,17.324079513549805,11.172262191772461,8.137826919555664,"⚠ REVISAR (DVARS spikes>15%, motion_outliers>20%, aCompCor combined>30, T2*plaus<80%, mask=2216ml)"
sub-P3,ses-12,BOLDREST1,run-1,True,,,513,0.04310578818283995,0.2250003429127078,0.0,1.5767354999999998,2.150961,63.0859375,323,62.96296296296296,2,0.02973712098629127,2,72,58,5,43.7640266418457,45.5,80.53246160748961,3.3839703492559035,2152.632,1,39.82969284057617,27.11153793334961,17.350244522094727,11.016056060791016,8.062711715698242,✗ FAIL (motion_outliers>50%)
sub-P3,ses-12,BOLDREST1,run-2,True,,,513,0.0439538327877855,0.1781598377533561,0.0,1.5656889999999999,2.136307,62.3046875,319,62.18323586744639,2,0.037919120533753736,2,72,59,5,43.66057205200195,45.5,79.64706726647101,3.5519899680079168,2152.824,1,39.83149337768555,27.11606216430664,17.321176528930664,11.034849166870117,8.062131881713867,✗ FAIL (motion_outliers>50%)
sub-P3,ses-8,BOLDREST1,run-1,True,,,513,0.0631204721172426,0.2215398869186625,0.0,1.6566345,2.476459,72.4609375,371,72.31968810916179,3,-0.013789302835680068,5,75,61,5,43.84131622314453,47.5,80.61419764759276,3.5017586324269128,2147.304,1,43.19072341918945,29.11565399169922,18.721046447753906,11.986884117126465,8.777606010437012,✗ FAIL (motion_outliers>50%)
sub-P3,ses-8,BOLDREST1,run-2,True,,,513,0.06132284922826545,0.2115808256710436,0.0,1.6940955,2.556742,75.390625,386,75.24366471734893,3,0.0081046693144983,5,74,60,5,44.17451858520508,47.5,83.24256970534036,2.795719910074575,2149.464,1,43.194488525390625,29.098552703857422,18.726329803466797,11.997396469116211,8.778696060180664,✗ FAIL (motion_outliers>50%)
sub-P4,ses-10,BOLDREST1,run-1,True,,,510,0.1142523627559399,1.7196748117863012,2.161100196463654,1.325724,3.285061,21.807465618860512,111,21.764705882352942,2,0.012154031817902368,10,89,75,10,44.69435119628906,45.5,79.11973323016268,3.3243059009930174,2187.472,1,41.234153747558594,28.731220245361328,18.678316116333008,11.785841941833496,7.411396503448486,"⚠ REVISAR (DVARS spikes>15%, motion_outliers>20%, aCompCor combined>30, T2*plaus<80%, mask=2187ml)"
sub-P4,ses-10,BOLDREST2,run-1,True,,,510,0.2350811494285462,4.244331188383812,19.842829076620824,1.049122,3.405414,15.717092337917485,114,22.352941176470587,2,-0.4259351273857683,8,55,45,12,44.0542106628418,45.5,79.93503425027069,3.96119915016167,2185.328,1,28.737913131713867,20.62841033935547,13.626374244689941,8.735771179199219,5.643534183502197,"⚠ REVISAR (DVARS spikes>15%, motion_outliers>20%, aCompCor combined>30, T2*plaus<80%, mask=2185ml)"
