subj,ses,task,run,echo,direction,mode,n_pre,n_post,pre,post,json,same_shape3d,same_affine,same_dtype,frames_ok,n_trim,mean_drift,sd_fg_ratio,sd_bg_ratio,tsnr_pre_med,tsnr_post_med,tsnr_gain_med,tsnr_gain_p90,fwhm_ratio,resid_sd_fg,resid_sd_bg,verdict
sub-P1,ses-11,BOLDREST1,run-1,1,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-1_part-mag_bold.json,True,True,True,True,0,0.0,0.6801286935806274,0.28621041774749756,30.16787338256836,44.929107666015625,1.4893031120300293,1.6289699077606201,1.0000000311902102,175.46001117886044,56.653218255207904,✓ PASS
sub-P1,ses-11,BOLDREST1,run-1,2,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-2_part-mag_bold.json,True,True,True,True,0,0.0,0.7301974892616272,0.19898229837417603,19.684892654418945,26.73695182800293,1.3582472801208496,1.6004260778427124,1.000000645814611,145.14536547937735,31.759413584986522,✓ PASS
sub-P1,ses-11,BOLDREST1,run-1,3,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-3_part-mag_bold.json,True,True,True,True,0,1.59292028456548e-07,0.7368462681770325,0.16073723137378693,12.426542282104492,16.215885162353516,1.3049393892288208,1.5785322189331055,1.0000005660277962,128.98005632452396,21.1356671665479,✓ PASS
sub-P1,ses-11,BOLDREST1,run-1,4,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-4_part-mag_bold.json,True,True,True,True,0,1.878878777006321e-07,0.7251746654510498,0.1431119292974472,7.7696661949157715,10.181882858276367,1.310465931892395,1.5571285486221313,1.0000005433726045,114.9235858154741,17.390989633598775,✓ PASS
sub-P1,ses-11,BOLDREST1,run-1,5,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-1_echo-5_part-mag_bold.json,True,True,True,True,0,2.779486010240362e-07,0.7047050595283508,0.13256032764911652,5.075894355773926,7.277563571929932,1.433750033378601,1.557782530784607,1.0000012916293175,100.7645600087386,14.548679775866576,✓ PASS
sub-P1,ses-11,BOLDREST1,run-2,1,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-1_part-mag_bold.json,True,True,True,True,0,1.2662111714689672e-07,0.6811805367469788,0.28692948818206787,30.16787338256836,44.85658645629883,1.4868991374969482,1.6252294778823853,1.0000000794421995,174.9448418915974,56.50908370308218,✓ PASS
sub-P1,ses-11,BOLDREST1,run-2,2,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-2_part-mag_bold.json,True,True,True,True,0,0.0,0.7309994101524353,0.19923818111419678,19.684892654418945,26.707660675048828,1.3567593097686768,1.5979779958724976,1.0000006795698646,144.76348970511071,31.671716677367165,✓ PASS
sub-P1,ses-11,BOLDREST1,run-2,3,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-3_part-mag_bold.json,True,True,True,True,0,7.9646014228274e-08,0.7365766763687134,0.16050298511981964,12.426542282104492,16.22223663330078,1.3054505586624146,1.580059289932251,1.0000007392903691,129.1444724353792,21.163247237725514,✓ PASS
sub-P1,ses-11,BOLDREST1,run-2,4,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-4_part-mag_bold.json,True,True,True,True,0,1.878878777006321e-07,0.7248494029045105,0.14274248480796814,7.7696661949157715,10.18562126159668,1.310947060585022,1.5583441257476807,1.0000006663178604,115.03870906845363,17.401863746047198,✓ PASS
sub-P1,ses-11,BOLDREST1,run-2,5,AP,magnitude-only,513,513,F:/JIVillL/openneuro/ds006072/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P1/ses-11/func/sub-P1_ses-11_task-BOLDREST1_dir-AP_run-2_echo-5_part-mag_bold.json,True,True,True,True,0,2.779486010240362e-07,0.7034665942192078,0.13176321983337402,5.075894355773926,7.290860652923584,1.4363696575164795,1.5617945194244385,1.0000012916293175,101.13615636569486,14.59470932845339,✓ PASS
