subj,ses,task,run,dir,n_echoes,shape,n_frames,has_noise,noise_ratio,tr,mode,noise_volume_last,n_trimmed,n_analytic,verdict,reason
sub-P1,ses-11,BOLDREST1,run-1,AP,5,"(110, 110, 72, 513)",513.0,False,0.9946,1.761,magnitude-only,0.0,0.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST12mmmb6me5ipat2ppf68FOV220lkblckon' != task-BOLDREST1 (alerta para §5.2)
sub-P1,ses-11,BOLDREST1,run-2,AP,5,"(110, 110, 72, 513)",513.0,False,0.9946,1.761,magnitude-only,0.0,0.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST12mmmb6me5ipat2ppf68FOV220lkblckon' != task-BOLDREST1 (alerta para §5.2)
sub-P1,ses-11,BOLDREST2,run-1,AP,5,"(110, 110, 72, 513)",513.0,False,0.9996,1.761,magnitude-only,0.0,0.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST22mmmb6me5ipat2ppf68FOV220lkblckon' != task-BOLDREST2 (alerta para §5.2)
sub-P1,ses-11,BOLDREST2,run-2,AP,5,"(110, 110, 72, 513)",513.0,False,0.9996,1.761,magnitude-only,0.0,0.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST22mmmb6me5ipat2ppf68FOV220lkblckon' != task-BOLDREST2 (alerta para §5.2)
sub-P1,ses-6,BOLDREST1,run-1,AP,5,"(110, 110, 72, 513)",513.0,False,0.9944,1.761,magnitude-only,0.0,0.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST12mmmb6me5ipat2ppf68FOV220lkblckon' != task-BOLDREST1 (alerta para §5.2)
sub-P1,ses-6,BOLDREST1,run-2,AP,5,"(110, 110, 72, 513)",513.0,False,0.9944,1.761,magnitude-only,0.0,0.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST12mmmb6me5ipat2ppf68FOV220lkblckon' != task-BOLDREST1 (alerta para §5.2)
sub-P1,ses-6,BOLDREST2,run-1,AP,5,"(110, 110, 72, 513)",513.0,False,0.9892,1.761,magnitude-only,0.0,0.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST22mmmb6me5ipat2ppf68FOV220lkblckon' != task-BOLDREST2 (alerta para §5.2)
sub-P1,ses-6,BOLDREST2,run-2,AP,5,"(110, 110, 72, 513)",513.0,False,0.9892,1.761,magnitude-only,0.0,0.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST22mmmb6me5ipat2ppf68FOV220lkblckon' != task-BOLDREST2 (alerta para §5.2)
sub-P2,ses-10,BOLDREST1,run-1,AP,5,,,,,,,,,,⊘ EXCLUDED,sub-P2 excluido del análisis (§1.2)
sub-P2,ses-10,BOLDREST2,run-1,AP,5,,,,,,,,,,⊘ EXCLUDED,sub-P2 excluido del análisis (§1.2)
sub-P2,ses-16,BOLDREST1,run-1,AP,5,,,,,,,,,,⊘ EXCLUDED,sub-P2 excluido del análisis (§1.2)
