subj,ses,task,run,integrity_ok,missing_files,n_components,n_accepted,n_rejected,pct_accepted,pct_varex_accepted,pct_varex_rejected,varex_rej_on_acc,kappa_elbow,rho_elbow,median_kappa_accepted,median_kappa_rejected,median_rho_accepted,median_rho_rejected,kappa_sep_ratio,rho_sep_ratio,pct_acc_below_kelbow,pct_acc_above_relbow,t2star_median,t2star_mode_ms,t2star_pct_plausible,t2star_pct_failed,t2star_units,s0_median,s0_iqr,rmse_median,pct_decayfit_failures,adaptmask_n_intra,pct_adaptmask_full,pct_adaptmask_lt3,adaptmask_hist,same_shape4d,same_affine,denoising_ok,n_frames,tsnr_optcom_med,tsnr_denoised_med,tsnr_gain_denoised_opt,mean_drift,gs_std_ratio,psd_bold_ratio,psd_high_ratio,verdict
sub-P1,ses-11,BOLDREST1,run-1,True,,276,37,239,13.405797101449275,72.63184870405308,27.368151294946912,61.06757835753897,8.947770624640125,,28.168235311601286,7.949931798733429,12.387286955354538,14.216415785175045,3.543204649389446,1.1476617790814836,0.0,,48.370330810546875,47.5,76.8715790078584,4.738508100238961,s→ms,10124.275390625,2256.9365234375,204.39208984375,0.21453780989459872,208821,97.74208532666734,1.1938454465786488,"[0, 1419, 1074, 950, 1272, 204106]",True,True,True,513,37.667083740234375,44.234718322753906,1.1743600493905482,0.0,0.8948020783958998,0.7407913044803377,0.9288498819963099,✗ FAIL (varex_rej_on_acc=61.1)
sub-P1,ses-11,BOLDREST1,run-2,True,,241,83,158,34.439834024896264,78.03481023298374,21.965189766016252,53.106354776584816,10.399830734754827,,19.606728479370517,9.2021847735561,9.950356125888188,10.899415513461598,2.1306601597170145,1.0953794392448135,8.433734939759036,,49.591400146484375,49.5,77.69385902994857,4.614802863769285,s→ms,10154.794921875,2070.150390625,190.2041015625,0.1668851467177574,198340,40.953413330644345,15.06100635272764,"[0, 13743, 16129, 24778, 62463, 81227]",True,True,True,513,43.069000244140625,47.37493133544922,1.0999775027467564,0.0,0.9860411823003872,1.0358208879083342,1.027516671566868,"✗ FAIL (varex_rej_on_acc=53.1, adaptfull<50%)"
sub-P1,ses-6,BOLDREST1,run-1,True,,243,37,206,15.22633744855967,81.86976404000406,18.13023595899592,60.25538110278595,9.17509650351564,,25.88543377638472,7.7064724814594365,11.416800215420086,13.233170542555996,3.358921197559715,1.1590962697834226,0.0,,48.52049255371094,48.5,76.60117352497086,4.762428088148162,s→ms,10056.05859375,2026.6728515625,217.00758361816406,0.19112784541579864,209284,97.66871810554079,1.2303855048642036,"[0, 1523, 1052, 986, 1318, 204405]",True,True,True,513,33.1168098449707,36.65821838378906,1.106936886562739,0.0,0.7013644082126486,0.679959516984443,0.5287967952149132,✗ FAIL (varex_rej_on_acc=60.3)
sub-P1,ses-6,BOLDREST1,run-2,True,,245,40,205,16.3265306122449,82.56649375285207,17.433506246147946,60.5777665679396,9.375686520098299,,24.669168952616722,7.6486070271366655,11.150401358876357,13.165421697937568,3.225315258725206,1.180712807925711,0.0,,48.50474166870117,48.5,76.52525021119399,4.756041102886079,s→ms,10050.373046875,2025.748046875,216.809814453125,0.19329620137168713,209523,97.70335476296158,1.2075046653589343,"[0, 1491, 1039, 957, 1325, 204711]",True,True,True,513,33.08891677856445,36.48176956176758,1.1025374388894633,0.0,0.7352473149589922,0.7367327860040371,0.5854646920555459,✗ FAIL (varex_rej_on_acc=60.6)
sub-P3,ses-12,BOLDREST1,run-1,True,,180,39,141,21.666666666666668,80.2460965789114,19.753903420088616,45.636168403075125,8.89308964594954,,19.605466513761375,7.40549636267473,9.002124047251097,11.111783757101705,2.647420990249496,1.2343513262844692,5.128205128205128,,47.99775695800781,48.5,81.53502654680558,2.5591589409406827,s→ms,10055.927734375,2035.2783203125,223.4485321044922,0.15763997140211672,170642,77.0894621488262,9.708043740696898,"[0, 8760, 7806, 9974, 12555, 131547]",True,True,True,513,38.285911560058594,41.12324523925781,1.0741090798811,0.0,0.9631393857711995,1.0394583321234279,0.6727824283750641,"⚠ REVISAR (varex_acc=80.2, varex_rej_on_acc=45.6, tsnr_gain=1.07)"
sub-P3,ses-12,BOLDREST1,run-2,True,,195,22,173,11.282051282051283,75.11448967678182,24.88551032221817,47.59472290639064,9.246109994079363,,26.044601200710847,7.985721780194037,11.310492681373507,18.28843554817336,3.2613960162381233,1.6169442006970536,0.0,,47.610984802246094,48.5,80.42006029788958,2.476038338658147,s→ms,9999.2529296875,2147.7431640625,217.58480834960938,0.12937047203347882,177784,97.56164784232551,1.4393871214507492,"[0, 1530, 1029, 788, 988, 173449]",True,True,True,513,35.638004302978516,39.73556900024414,1.1149773893429882,0.0,0.9323746535148493,1.0173764014136346,0.555322497925546,"⚠ REVISAR (varex_acc=75.1, varex_rej_on_acc=47.6, tsnr_gain=1.11)"
sub-P3,ses-8,BOLDREST1,run-1,True,,177,17,160,9.6045197740113,68.31869947028994,31.681300528710075,47.05650957593804,9.08713271145761,,26.886580727324358,7.7805042503091695,10.001031581015296,15.79184329780699,3.455634732961682,1.5790214409265786,0.0,,47.87887954711914,48.5,80.3095662439977,2.673939448978897,s→ms,9500.9189453125,2059.1748046875,206.170654296875,0.1674404876775153,176182,95.05397827246824,1.807222077170199,"[0, 2088, 1096, 3710, 1820, 167468]",True,True,True,513,39.18854522705078,45.147117614746094,1.1520488283507455,0.0,0.7756254561285937,0.6185541714827458,0.3668781143778053,"⚠ REVISAR (pct_acc=9.6, varex_rej_on_acc=47.1, tsnr_gain=1.15, psd_BOLD=0.62)"
sub-P3,ses-8,BOLDREST1,run-2,True,,168,31,137,18.452380952380953,69.84212187721296,30.157878121787032,42.155634131905714,8.796543380828371,,19.06314630413067,7.356939057399668,9.635273171648372,12.18563490451544,2.591179042723863,1.264690132540452,0.0,,48.06153106689453,48.5,81.07568329238043,2.6976511278545727,s→ms,9537.0751953125,1993.451171875,209.10470581054688,0.17176928182972132,171742,88.20090601017806,7.882754364104296,"[0, 8228, 5310, 3697, 3029, 151478]",True,True,True,513,41.237037658691406,46.13841247558594,1.1188585575991934,0.0,0.9069178592737348,0.9044002420319366,0.5949777812822841,"⚠ REVISAR (varex_rej_on_acc=42.2, tsnr_gain=1.12)"
sub-P4,ses-10,BOLDREST1,run-1,True,,153,37,116,24.18300653594771,55.64870560365208,44.3512943953479,34.48451224536006,10.939862870694348,,20.95974302026965,8.030572829814254,10.149962563865651,9.817747465697492,2.609993516583853,0.9672693277361573,0.0,,47.9118537902832,48.5,81.30322419053691,3.1570199007240762,s→ms,11368.478515625,2388.2578125,229.53712463378906,0.14458764060294185,175672,78.05683318912519,11.091693610820165,"[0, 10321, 9164, 8931, 10132, 137124]",True,True,True,510,42.235233306884766,52.008216857910156,1.2313940940916006,0.0,0.9461845992598571,0.9448506512684662,0.14012049086727976,"⚠ REVISAR (varex_rej_on_acc=34.5, ρsep=0.97, adapt<3=11%)"
sub-P4,ses-10,BOLDREST2,run-1,True,,282,63,219,22.340425531914892,51.4182669196346,48.58173307936541,36.44356458270444,9.593202052862852,,24.278234801703057,8.65557039236961,11.17395588346943,10.628457955283992,2.8049260419747424,0.9511813064348643,1.5873015873015872,,47.54494094848633,46.5,81.71767006054093,2.864689034603797,s→ms,11290.31640625,2296.25,268.7664794921875,0.0617414519531451,174923,73.30768395236761,12.483206896748856,"[0, 11175, 10661, 10508, 14347, 128232]",True,True,True,510,28.865676879882812,40.801395416259766,1.4134917252982122,0.0,0.2892447026948138,0.08670944608544938,0.04101786180520048,"⚠ REVISAR (varex_rej_on_acc=36.4, ρsep=0.95, adapt<3=12%, psd_BOLD=0.09)"
