Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_000	8.437500192135227	8.939138313307696	0.24041210360623402	0.31300410086318725	0	0	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_001	9.97971333804625	18.218632160099133	0.20446566408399325	0.13772347106176697	459	696	0.0	0.630057803468208	3.6396979897620305	0.00039228207808824343	-1	n/a	rejected	Unlikely BOLD
ICA_002	7.769855306862855	7.5234166952875325	0.09020260962488448	0.13413146783481983	0	0	0.0	0.0	-10.621351091654983	2.4398829596295028e-17	-1	n/a	rejected	Unlikely BOLD
ICA_003	21.124672047886584	20.955398877276266	0.41230420504761384	0.4562069121747967	6502	3262	0.3745971861982237	0.3267728834739144	1.0014870545449386	0.31882668350669663	1	n/a	rejected	Unlikely BOLD
ICA_004	30.86293068034793	9.82446168305822	2.71579786433409	3.305648388013935	12685	1149	0.5339391544843936	0.0	0.0	0.0	1	72.43047876896789	accepted	Likely BOLD
ICA_005	9.022009376581924	7.411702720185948	0.09274734401631692	0.14111219621215787	91	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_006	7.475805519433364	16.070306332077607	0.21801216006387286	0.3054599583375888	576	2301	0.0	0.11140819964349376	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_007	45.65643868711595	7.6205463642990825	0.16140111977464255	0.26564681747592944	10945	910	0.5892167612146637	0.28017718715393136	34.74653920949903	5.611371094993453e-244	-1	13.480724127554078	accepted	Likely BOLD
ICA_008	8.442295918972118	8.34063896493865	0.09111311678542362	0.1430840614709109	259	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_009	74.22677807104445	7.110161566248681	0.21290090414440344	0.36460268628952225	7899	466	0.6084521384928717	0.265642151481888	38.41773136093918	1.387335052380481e-295	-1	18.83617585179992	accepted	Likely BOLD
ICA_010	12.020444500465695	5.923204076379853	0.0946431004347588	0.1802103012604079	0	0	0.0	0.0	0.0	0.0	-1	16.18758956169507	accepted	Likely BOLD
ICA_011	47.80922852176543	8.914901846012217	0.24612262726363032	0.4219624806098682	7937	752	0.4469382459782045	0.22603719599427755	30.394759381079375	1.7153620949697386e-182	-1	23.62904188082885	accepted	Likely BOLD
ICA_012	8.290935212039876	7.265837243458183	0.07970255298834902	0.13214136076374047	110	325	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_013	8.9868062902303	9.403074977104534	0.11468413123814128	0.1320676016904617	0	234	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_014	7.971819216507328	9.008753087194624	0.10433347679352914	0.12808179872185857	0	114	0.0	0.0	-8.092216331428462	1.5111386792444063e-12	-1	n/a	rejected	Unlikely BOLD
ICA_015	8.796458654984265	8.287167849054368	0.26952791435482026	0.33765633696025493	138	0	0.0	0.0	-2.0035238275875717	0.04776303437461729	-1	n/a	rejected	Unlikely BOLD
ICA_016	22.491918896789173	9.648744329821108	0.8836238621081097	1.1733468444515143	7806	248	0.37675088362351095	0.0	0.0	0.0	-1	40.368785101262816	accepted	Likely BOLD
ICA_017	12.963535595806505	39.3649520146561	0.17708235159762492	0.24120884254769043	8494	15848	0.6074110249679506	0.64192	20.26204856821246	1.4979451072059175e-87	1	n/a	rejected	Unlikely BOLD
ICA_018	8.225060829731826	7.673803154957323	0.09155919727188064	0.1607384668373311	0	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_019	8.92715057653582	5.93456261981498	0.07068108104965774	0.12650860726954935	0	0	0.0	0.0	0.0	0.0	1	9.400157437563283	accepted	Low variance
ICA_020	27.067042155953228	15.228237666192454	1.1449512303591085	0.9188691164595477	13094	4276	0.5140826231512975	0.233313713949382	-1.2630365223962643	0.2066152405633427	-1	n/a	rejected	Unlikely BOLD
ICA_021	8.787825108114964	9.436168484519847	0.11714524612574728	0.17210021603536968	251	160	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_022	8.778249595695126	8.275916222104083	0.1463324269750411	0.22901466631705575	110	244	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_023	11.856617363619058	8.76954435081588	0.15223314648215075	0.21822377853275532	2207	613	0.42462941847206387	0.0	0.0	0.0	-1	31.940996087650575	accepted	Likely BOLD
ICA_024	11.970612679211497	8.08225277036797	0.26740229626045986	0.39470380741709116	1157	84	0.0	0.0	0.0	0.0	1	41.43346916602761	accepted	Likely BOLD
ICA_025	55.615982338658455	9.472487208540105	0.3474478905999126	0.4871149308367878	14553	2742	0.573120601964746	0.2997969355731955	27.937370251507343	1.517793336787553e-163	-1	18.991256553845993	accepted	Likely BOLD
ICA_026	18.728329698427192	8.2862071795678	0.8009699964709294	0.5296660828894897	1477	213	0.495960660344222	0.0	10.892666287426767	2.2828119376759986e-25	-1	53.591069461355545	accepted	Likely BOLD
ICA_027	8.378716243191718	9.808379328813583	0.43871371085023425	0.5134905216704949	329	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
