"subject","condition","density","degree_entropy"
"sub-001","LSD",0.1,5.13422871047601
"sub-001","PLCB",0.1,4.76505831058206
"sub-002","LSD",0.1,5.14458318730858
"sub-002","PLCB",0.1,4.80056587424208
"sub-003","LSD",0.1,5.15499279301902
"sub-003","PLCB",0.1,4.88419314219976
"sub-004","LSD",0.1,5.11922671715307
"sub-004","PLCB",0.1,4.95042533895663
"sub-006","LSD",0.1,5.07050623885143
"sub-006","PLCB",0.1,4.97473070367579
"sub-009","LSD",0.1,4.75287505752128
"sub-009","PLCB",0.1,4.8136425027486
"sub-010","LSD",0.1,5.09230000604407
"sub-010","PLCB",0.1,4.82706945374888
"sub-011","LSD",0.1,5.00972044574854
"sub-011","PLCB",0.1,5.03561773618011
"sub-012","LSD",0.1,5.03058199444332
"sub-012","PLCB",0.1,5.06792391158828
"sub-013","LSD",0.1,4.8948580537593
"sub-013","PLCB",0.1,4.98767092955872
"sub-015","LSD",0.1,5.16829237823844
"sub-015","PLCB",0.1,5.12422679556321
"sub-017","LSD",0.1,5.28174913355547
"sub-017","PLCB",0.1,5.00738709915505
"sub-018","LSD",0.1,4.97137618755809
"sub-018","PLCB",0.1,4.86266475108998
"sub-019","LSD",0.1,5.24941410787221
"sub-019","PLCB",0.1,5.08819146459788
"sub-020","LSD",0.1,4.95690478844587
"sub-020","PLCB",0.1,4.99268022207333
"sub-001","LSD",0.2,5.74794032854589
"sub-001","PLCB",0.2,5.58548393895674
"sub-002","LSD",0.2,5.94273749179338
"sub-002","PLCB",0.2,5.45871120543295
"sub-003","LSD",0.2,5.73990436514398
"sub-003","PLCB",0.2,5.68223304276203
"sub-004","LSD",0.2,5.82916701564501
"sub-004","PLCB",0.2,5.65364997427292
"sub-006","LSD",0.2,5.82449865605831
"sub-006","PLCB",0.2,5.632062436601
"sub-009","LSD",0.2,5.36806280742857
"sub-009","PLCB",0.2,5.51128509339563
"sub-010","LSD",0.2,5.80315436950777
"sub-010","PLCB",0.2,5.44597942168754
"sub-011","LSD",0.2,5.72327405030599
"sub-011","PLCB",0.2,5.78015490565833
"sub-012","LSD",0.2,5.64746381306917
"sub-012","PLCB",0.2,5.77356569670504
"sub-013","LSD",0.2,5.58851645841015
"sub-013","PLCB",0.2,5.70832678330087
"sub-015","LSD",0.2,5.88424378292645
"sub-015","PLCB",0.2,5.76106169608055
"sub-017","LSD",0.2,6.02829124796564
"sub-017","PLCB",0.2,5.74090427199273
"sub-018","LSD",0.2,5.69734930799548
"sub-018","PLCB",0.2,5.56479133094679
"sub-019","LSD",0.2,5.94270770698249
"sub-019","PLCB",0.2,5.92977938170584
"sub-020","LSD",0.2,5.69197061635542
"sub-020","PLCB",0.2,5.70029300751316
"sub-001","LSD",0.3,6.18141964208345
"sub-001","PLCB",0.3,5.86449575234232
"sub-002","LSD",0.3,6.36299592233807
"sub-002","PLCB",0.3,5.76230727531491
"sub-003","LSD",0.3,6.12841596774004
"sub-003","PLCB",0.3,6.06190198148416
"sub-004","LSD",0.3,6.09862023763985
"sub-004","PLCB",0.3,5.96087615877106
"sub-006","LSD",0.3,6.14107054553625
"sub-006","PLCB",0.3,5.9135941905245
"sub-009","LSD",0.3,5.64241295686023
"sub-009","PLCB",0.3,5.81023051319934
"sub-010","LSD",0.3,6.05314183053435
"sub-010","PLCB",0.3,5.69713210389965
"sub-011","LSD",0.3,5.99967482727146
"sub-011","PLCB",0.3,6.04643514873722
"sub-012","LSD",0.3,5.86635306428085
"sub-012","PLCB",0.3,5.93086297669785
"sub-013","LSD",0.3,5.89750988886598
"sub-013","PLCB",0.3,6.01769935877853
"sub-015","LSD",0.3,6.31964238143228
"sub-015","PLCB",0.3,6.18135062298429
"sub-017","LSD",0.3,6.41327502976371
"sub-017","PLCB",0.3,6.11106395709439
"sub-018","LSD",0.3,6.18901088795617
"sub-018","PLCB",0.3,5.78446867124019
"sub-019","LSD",0.3,6.28926253005178
"sub-019","PLCB",0.3,6.27070000209292
"sub-020","LSD",0.3,6.02109193396536
"sub-020","PLCB",0.3,6.05183839139428
