"tipo","metric","d_z","d_av","abs_dz","p_FDR","detectable","n_required","interpretacion"
"global","small_worldness",-0.703529778952817,-1.04189685922426,0.703529778952817,0.0836047367130717,FALSE,18,"No significativo + infradetectable (no descarta efecto real)"
"global","clustering",-0.700667020815998,-0.917527229358168,0.700667020815998,0.0836047367130717,FALSE,19,"No significativo + infradetectable (no descarta efecto real)"
"global","density",0.682402786852485,0.60924765653383,0.682402786852485,0.0836047367130717,FALSE,19,"No significativo + infradetectable (no descarta efecto real)"
"global","char_path_length",0.602927950035914,0.581085955618455,0.602927950035914,0.113551968987304,FALSE,24,"No significativo + infradetectable (no descarta efecto real)"
"global","global_efficiency",-0.526517506889763,-0.564679232216839,0.526517506889763,0.120538318762689,FALSE,31,"No significativo + infradetectable (no descarta efecto real)"
"global","assortativity",-0.373703039593639,-0.542919296952897,0.373703039593639,0.22076652960076,FALSE,59,"No significativo + infradetectable (no descarta efecto real)"
"global","mean_strength",-0.301220138957871,-0.311195911361093,0.301220138957871,0.310643423378323,FALSE,89,"No significativo + infradetectable (no descarta efecto real)"
"global","modularity",-0.150240236312424,-0.187153672853823,0.150240236312424,0.617392491037866,FALSE,350,"No significativo + infradetectable (no descarta efecto real)"
"nodal","betweenness",-0.498923936085581,-0.67352056653496,0.498923936085581,0.120538318762689,FALSE,34,"No significativo + infradetectable (no descarta efecto real)"
"nodal","eigenvector",0.498214989272781,0.666126445590076,0.498214989272781,0.120538318762689,FALSE,34,"No significativo + infradetectable (no descarta efecto real)"
"nodal","participation",0.478507250013054,0.579878118837875,0.478507250013054,0.122833885673747,FALSE,37,"No significativo + infradetectable (no descarta efecto real)"
"nodal","closeness",0.0847834540945281,0.127378805101064,0.0847834540945281,0.74749551566512,FALSE,1094,"No significativo + infradetectable (no descarta efecto real)"
"advanced","degree_entropy",0.555448430113144,0.688104533624945,0.555448430113144,0.120538318762689,FALSE,28,"No significativo + infradetectable (no descarta efecto real)"
