"subject","seed","roi","roi_label","network","fc_c1","fc_c2","fc_delta"
"sub-001","HIP",1,"LH_Vis_1","Vis",0.262204859367523,0.250992831196305,0.0112120281712182
"sub-001","HIP",2,"LH_Vis_2","Vis",-0.120800764400227,0.124500015458866,-0.245300779859093
"sub-001","HIP",3,"LH_Vis_3","Vis",0.114000272887366,0.128698143350745,-0.014697870463379
"sub-001","HIP",4,"LH_Vis_4","Vis",0.150929774095167,0.297564016813639,-0.146634242718472
"sub-001","HIP",5,"LH_Vis_5","Vis",-0.0384886661336493,0.0676608546671996,-0.106149520800849
"sub-001","HIP",6,"LH_Vis_6","Vis",0.344095149455381,0.28730321019994,0.0567919392554413
"sub-001","HIP",7,"LH_Vis_7","Vis",0.124888397507386,-0.108434416647485,0.233322814154871
"sub-001","HIP",8,"LH_Vis_8","Vis",0.126033449194659,0.258095267715096,-0.132061818520437
"sub-001","HIP",9,"LH_Vis_9","Vis",-0.0701919250484692,-0.027351476562203,-0.0428404484862662
"sub-001","HIP",10,"LH_Vis_10","Vis",0.454047257558486,0.050633788352919,0.403413469205567
"sub-001","HIP",11,"LH_Vis_11","Vis",0.074045675360094,0.268410300904399,-0.194364625544305
"sub-001","HIP",12,"LH_Vis_12","Vis",0.165653737156272,0.348017328784303,-0.182363591628031
"sub-001","HIP",13,"LH_Vis_13","Vis",-0.0883440702776196,0.268880608857136,-0.357224679134756
"sub-001","HIP",14,"LH_Vis_14","Vis",-0.0102167532706558,0.313099974368725,-0.323316727639381
"sub-001","HIP",15,"LH_SomMot_1","SomMot",0.365223627400833,0.274787182530386,0.0904364448704473
"sub-001","HIP",16,"LH_SomMot_2","SomMot",0.295445240223075,0.356539269124121,-0.0610940289010453
"sub-001","HIP",17,"LH_SomMot_3","SomMot",0.280679550456474,0.454621054249582,-0.173941503793108
"sub-001","HIP",18,"LH_SomMot_4","SomMot",0.232972855186671,0.337033106291782,-0.104060251105112
"sub-001","HIP",19,"LH_SomMot_5","SomMot",0.174646787073147,0.302433277502974,-0.127786490429827
"sub-001","HIP",20,"LH_SomMot_6","SomMot",0.142686184738301,0.36017587435971,-0.21748968962141
"sub-001","HIP",21,"LH_SomMot_7","SomMot",0.195558998120273,0.274757756991723,-0.0791987588714499
"sub-001","HIP",22,"LH_SomMot_8","SomMot",0.223246351335146,0.476983494973178,-0.253737143638033
"sub-001","HIP",23,"LH_SomMot_9","SomMot",-0.00420426415430159,0.334041395418767,-0.338245659573069
"sub-001","HIP",24,"LH_SomMot_10","SomMot",0.0900621285515181,0.407547616812886,-0.317485488261368
"sub-001","HIP",25,"LH_SomMot_11","SomMot",0.0628100158251104,0.313761068145841,-0.250951052320731
"sub-001","HIP",26,"LH_SomMot_12","SomMot",0.102430316739778,0.364035195003398,-0.261604878263619
"sub-001","HIP",27,"LH_SomMot_13","SomMot",0.146635821104272,0.366952694547225,-0.220316873442954
"sub-001","HIP",28,"LH_SomMot_14","SomMot",0.169274197403529,0.209408471754393,-0.0401342743508639
"sub-001","HIP",29,"LH_SomMot_15","SomMot",0.108620418917146,0.399152450156212,-0.290532031239066
"sub-001","HIP",30,"LH_SomMot_16","SomMot",0.111774212582605,0.385593045297864,-0.273818832715259
"sub-001","HIP",31,"LH_DorsAttn_Post_1","DorsAttn",0.415073533886902,0.256142458940815,0.158931074946088
"sub-001","HIP",32,"LH_DorsAttn_Post_2","DorsAttn",0.262600738997233,0.178897468792981,0.0837032702042518
"sub-001","HIP",33,"LH_DorsAttn_Post_3","DorsAttn",0.123549817055919,0.107085810058409,0.0164640069975101
"sub-001","HIP",34,"LH_DorsAttn_Post_4","DorsAttn",0.0469955591435706,0.135508633226298,-0.0885130740827278
"sub-001","HIP",35,"LH_DorsAttn_Post_5","DorsAttn",-0.0505889384301449,0.20396244458435,-0.254551383014495
"sub-001","HIP",36,"LH_DorsAttn_Post_6","DorsAttn",0.0388575614271551,-0.0133843179857972,0.0522418794129523
"sub-001","HIP",37,"LH_DorsAttn_Post_7","DorsAttn",0.0111705246303141,0.0753173294067347,-0.0641468047764206
"sub-001","HIP",38,"LH_DorsAttn_Post_8","DorsAttn",0.050256133335337,0.140931129115971,-0.0906749957806342
"sub-001","HIP",39,"LH_DorsAttn_Post_9","DorsAttn",0.0334866373911937,0.190251321858578,-0.156764684467385
"sub-001","HIP",40,"LH_DorsAttn_Post_10","DorsAttn",0.0361202755170073,0.23879438921928,-0.202674113702273
"sub-001","HIP",41,"LH_DorsAttn_FEF_1","DorsAttn",0.154528534412449,0.118331743655611,0.036196790756838
"sub-001","HIP",42,"LH_DorsAttn_FEF_2","DorsAttn",0.103323700218716,-0.112889035656598,0.216212735875314
"sub-001","HIP",43,"LH_DorsAttn_PrCv_1","DorsAttn",0.224369798373829,0.0913792672605084,0.132990531113321
"sub-001","HIP",44,"LH_SalVentAttn_ParOper_1","SalVentAttn",0.384830958641483,0.40781960456224,-0.0229886459207573
"sub-001","HIP",45,"LH_SalVentAttn_ParOper_2","SalVentAttn",0.157242677391661,0.223824153372965,-0.066581475981304
"sub-001","HIP",46,"LH_SalVentAttn_ParOper_3","SalVentAttn",0.157771887674186,-0.0708088017595334,0.228580689433719
"sub-001","HIP",47,"LH_SalVentAttn_FrOperIns_1","SalVentAttn",0.257710271584178,0.303627643883092,-0.0459173722989143
"sub-001","HIP",48,"LH_SalVentAttn_FrOperIns_2","SalVentAttn",0.210378079621499,0.0995775787229558,0.110800500898543
"sub-001","HIP",49,"LH_SalVentAttn_FrOperIns_3","SalVentAttn",0.283208372216801,0.325633099443827,-0.0424247272270254
"sub-001","HIP",50,"LH_SalVentAttn_FrOperIns_4","SalVentAttn",0.221573827176026,0.0389283849289825,0.182645442247043
"sub-001","HIP",51,"LH_SalVentAttn_PFCl_1","SalVentAttn",-0.13969756424675,-0.336127988791368,0.196430424544618
"sub-001","HIP",52,"LH_SalVentAttn_Med_1","SalVentAttn",0.236518424611183,0.11302560992987,0.123492814681313
"sub-001","HIP",53,"LH_SalVentAttn_Med_2","SalVentAttn",0.307645896209634,0.514749936151368,-0.207104039941735
"sub-001","HIP",54,"LH_SalVentAttn_Med_3","SalVentAttn",0.0771250840015665,0.0646708799751053,0.0124542040264612
"sub-001","HIP",55,"LH_Limbic_OFC_1","Limbic",0.180874975927452,0.475325295862774,-0.294450319935322
"sub-001","HIP",56,"LH_Limbic_OFC_2","Limbic",-0.0309294394283597,0.433541866455857,-0.464471305884217
"sub-001","HIP",57,"LH_Limbic_TempPole_1","Limbic",0.241062371811204,0.334021047815537,-0.092958676004333
"sub-001","HIP",58,"LH_Limbic_TempPole_2","Limbic",-0.0739285528305065,0.179044773990358,-0.252973326820865
"sub-001","HIP",59,"LH_Limbic_TempPole_3","Limbic",0.192818106515056,0.413833972103255,-0.221015865588199
"sub-001","HIP",60,"LH_Limbic_TempPole_4","Limbic",0.0583504760730962,0.206090815054295,-0.147740338981199
"sub-001","HIP",61,"LH_Cont_Par_1","Cont",-0.180589132282411,-0.332877190872122,0.152288058589711
"sub-001","HIP",62,"LH_Cont_Par_2","Cont",-0.0677749664035482,-0.115534695736267,0.047759729332719
"sub-001","HIP",63,"LH_Cont_Par_3","Cont",-0.0429171631199614,-0.00997137576142331,-0.0329457873585381
"sub-001","HIP",64,"LH_Cont_Temp_1","Cont",0.0444952208059778,0.125472968422045,-0.0809777476160676
"sub-001","HIP",65,"LH_Cont_OFC_1","Cont",0.085945103257925,0.231067778444037,-0.145122675186112
"sub-001","HIP",66,"LH_Cont_PFCl_1","Cont",-0.16948017589737,0.012880628449184,-0.182360804346554
"sub-001","HIP",67,"LH_Cont_PFCl_2","Cont",-0.15395088822517,-0.348869258328098,0.194918370102928
"sub-001","HIP",68,"LH_Cont_PFCl_3","Cont",0.0985257794806373,-0.0779834850088015,0.176509264489439
"sub-001","HIP",69,"LH_Cont_PFCl_4","Cont",0.130463473529441,0.0253912619033848,0.105072211626056
"sub-001","HIP",70,"LH_Cont_PFCl_5","Cont",0.004560682106872,-0.213174670308316,0.217735352415188
"sub-001","HIP",71,"LH_Cont_pCun_1","Cont",-0.0409542903663515,0.0510389118106199,-0.0919932021769714
"sub-001","HIP",72,"LH_Cont_Cing_1","Cont",0.0166297863790549,0.101243888330734,-0.0846141019516796
"sub-001","HIP",73,"LH_Cont_Cing_2","Cont",0.414950568766187,0.135212477534446,0.279738091231741
"sub-001","HIP",74,"LH_Default_Temp_1","Default",0.134373733361907,0.2071427137725,-0.0727689804105939
"sub-001","HIP",75,"LH_Default_Temp_2","Default",-0.103663236663048,0.0533230356962123,-0.156986272359261
"sub-001","HIP",76,"LH_Default_Temp_3","Default",0.24454656104608,0.309617781564407,-0.0650712205183272
"sub-001","HIP",77,"LH_Default_Temp_4","Default",0.0374969481056528,-0.0590671280782652,0.096564076183918
"sub-001","HIP",78,"LH_Default_Temp_5","Default",0.155545913174646,0.217800900190274,-0.0622549870156275
"sub-001","HIP",79,"LH_Default_Par_1","Default",-0.0134239212316028,-0.105204188251758,0.0917802670201549
"sub-001","HIP",80,"LH_Default_Par_2","Default",0.0320824206996846,0.0152484372477129,0.0168339834519717
"sub-001","HIP",81,"LH_Default_Par_3","Default",-0.0179582732141937,-0.284293282576587,0.266335009362393
"sub-001","HIP",82,"LH_Default_Par_4","Default",-0.211638752194329,-0.202593063584308,-0.00904568861002109
"sub-001","HIP",83,"LH_Default_PFC_1","Default",0.216527061722774,0.102402839449846,0.114124222272928
"sub-001","HIP",84,"LH_Default_PFC_2","Default",0.320668082349603,0.490887769528636,-0.170219687179034
"sub-001","HIP",85,"LH_Default_PFC_3","Default",0.236476941490735,0.00897940989346952,0.227497531597266
"sub-001","HIP",86,"LH_Default_PFC_4","Default",0.164920230746015,0.161603963702435,0.00331626704358046
"sub-001","HIP",87,"LH_Default_PFC_5","Default",0.106425621677013,-0.213645680295361,0.320071301972374
"sub-001","HIP",88,"LH_Default_PFC_6","Default",0.264182086894156,0.202207657878083,0.061974429016073
"sub-001","HIP",89,"LH_Default_PFC_7","Default",0.172544529735438,0.0742574005528515,0.0982871291825868
"sub-001","HIP",90,"LH_Default_PFC_8","Default",0.350024569108044,0.102520067332971,0.247504501775073
"sub-001","HIP",91,"LH_Default_PFC_9","Default",0.152082290095413,0.0467813804060743,0.105300909689339
"sub-001","HIP",92,"LH_Default_PFC_10","Default",0.0588593277156537,-0.0709080885735552,0.129767416289209
"sub-001","HIP",93,"LH_Default_PFC_11","Default",-0.174061977628293,-0.304049951168045,0.129987973539752
"sub-001","HIP",94,"LH_Default_PFC_12","Default",0.140573650993179,0.0178435232266171,0.122730127766562
"sub-001","HIP",95,"LH_Default_PFC_13","Default",-0.127075752952836,-0.28677324703332,0.159697494080485
"sub-001","HIP",96,"LH_Default_pCunPCC_1","Default",0.326176141289391,0.119387399270836,0.206788742018555
"sub-001","HIP",97,"LH_Default_pCunPCC_2","Default",-0.00698742968550483,0.0159855051568112,-0.022972934842316
"sub-001","HIP",98,"LH_Default_pCunPCC_3","Default",0.350317635790672,0.241672605157957,0.108645030632716
"sub-001","HIP",99,"LH_Default_pCunPCC_4","Default",-0.0579994497385409,0.00716507368037692,-0.0651645234189178
"sub-001","HIP",100,"LH_Default_PHC_1","Default",0.358601057724937,0.41351165551348,-0.0549105977885426
"sub-001","HIP",101,"RH_Vis_1","Vis",0.43832586920661,0.161643564124621,0.276682305081989
"sub-001","HIP",102,"RH_Vis_2","Vis",0.70574779197159,0.600694716286813,0.105053075684777
"sub-001","HIP",103,"RH_Vis_3","Vis",0.148891818128312,0.157750056798965,-0.00885823867065322
"sub-001","HIP",104,"RH_Vis_4","Vis",0.0595761265546118,0.262429964625227,-0.202853838070616
"sub-001","HIP",105,"RH_Vis_5","Vis",0.0766771635834005,0.179386786575343,-0.102709622991943
"sub-001","HIP",106,"RH_Vis_6","Vis",0.099913657188153,-0.0907817910184003,0.190695448206553
"sub-001","HIP",107,"RH_Vis_7","Vis",0.387397592024683,0.499234409199168,-0.111836817174484
"sub-001","HIP",108,"RH_Vis_8","Vis",-0.130257966109805,-0.0286822838660377,-0.101575682243767
"sub-001","HIP",109,"RH_Vis_9","Vis",0.25497313013133,-0.0526995310693981,0.307672661200728
"sub-001","HIP",110,"RH_Vis_10","Vis",0.305816977779581,0.233127490116897,0.0726894876626843
"sub-001","HIP",111,"RH_Vis_11","Vis",0.033859860746334,0.194005511005888,-0.160145650259554
"sub-001","HIP",112,"RH_Vis_12","Vis",-0.0976618552622224,0.194591913075087,-0.29225376833731
"sub-001","HIP",113,"RH_Vis_13","Vis",0.135761288275338,0.257251511177614,-0.121490222902276
"sub-001","HIP",114,"RH_Vis_14","Vis",0.0402211350173795,0.261306389316309,-0.221085254298929
"sub-001","HIP",115,"RH_Vis_15","Vis",0.094164231845654,0.158681245081913,-0.0645170132362593
"sub-001","HIP",116,"RH_SomMot_1","SomMot",0.251416971042531,0.349295583757636,-0.0978786127151044
"sub-001","HIP",117,"RH_SomMot_2","SomMot",0.348133912550046,0.345212269244728,0.00292164330531874
"sub-001","HIP",118,"RH_SomMot_3","SomMot",0.163853898575497,0.328106469932388,-0.16425257135689
"sub-001","HIP",119,"RH_SomMot_4","SomMot",0.186265020536019,0.333835431729343,-0.147570411193324
"sub-001","HIP",120,"RH_SomMot_5","SomMot",0.273754248368225,0.310623937582305,-0.0368696892140804
"sub-001","HIP",121,"RH_SomMot_6","SomMot",0.290945971197261,0.284454773089104,0.00649119810815613
"sub-001","HIP",122,"RH_SomMot_7","SomMot",0.106917273631316,0.233194248010124,-0.126276974378808
"sub-001","HIP",123,"RH_SomMot_8","SomMot",0.340960020181164,0.400142938158748,-0.0591829179775835
"sub-001","HIP",124,"RH_SomMot_9","SomMot",0.197525262839387,0.240180100671403,-0.0426548378320163
"sub-001","HIP",125,"RH_SomMot_10","SomMot",0.261715705891065,0.337649858533976,-0.0759341526429116
"sub-001","HIP",126,"RH_SomMot_11","SomMot",0.270450343092073,0.436768193995798,-0.166317850903724
"sub-001","HIP",127,"RH_SomMot_12","SomMot",0.254685482034105,0.357387560304046,-0.102702078269941
"sub-001","HIP",128,"RH_SomMot_13","SomMot",0.111354264161967,0.301651675791773,-0.190297411629806
"sub-001","HIP",129,"RH_SomMot_14","SomMot",0.29244257058284,0.30655878690901,-0.0141162163261695
"sub-001","HIP",130,"RH_SomMot_15","SomMot",0.185266234628687,0.35718555801357,-0.171919323384882
"sub-001","HIP",131,"RH_SomMot_16","SomMot",0.187050669947832,0.229750294442901,-0.0426996244950691
"sub-001","HIP",132,"RH_SomMot_17","SomMot",0.231315825470704,0.45612298444659,-0.224807158975886
"sub-001","HIP",133,"RH_SomMot_18","SomMot",0.146909422095141,0.394240837237677,-0.247331415142536
"sub-001","HIP",134,"RH_SomMot_19","SomMot",0.241206008521714,0.370961216836439,-0.129755208314725
"sub-001","HIP",135,"RH_DorsAttn_Post_1","DorsAttn",0.205102548570836,0.291366957535981,-0.0862644089651449
"sub-001","HIP",136,"RH_DorsAttn_Post_2","DorsAttn",0.263916973026475,0.245522398932355,0.0183945740941198
"sub-001","HIP",137,"RH_DorsAttn_Post_3","DorsAttn",0.199230046165662,0.128074512030045,0.0711555341356168
