"pipeline","condition","r_FD_spearman","r_FD_pearson","r_DVARS_spearman","r_DVARS_pearson","n_runs"
"OC+24P","mtp",0.132867132867133,0.188389744920226,-0.0839160839160839,0.297070572726249,12
"OC+24P","psil",0.536363636363636,0.511077271091948,-0.0363636363636364,-0.233164528746374,11
"OC+36P+GSR","mtp",0.657342657342657,0.734203786129386,-0.300699300699301,-0.1908090112279,12
"OC+36P+GSR","psil",0.627272727272727,0.506127114844993,0.281818181818182,0.0485719589492466,11
"OC+Siegel","mtp",0.286713286713287,0.212451052584934,-0.188811188811189,0.28631882056966,12
"OC+Siegel","psil",0.390909090909091,0.203012520212945,-0.345454545454545,-0.497361832769353,11
"OC+aCompCor","mtp",0.013986013986014,-0.048950903343105,0.328671328671329,0.60770755508926,12
"OC+aCompCor","psil",0.409090909090909,0.287751830020656,0.236363636363636,0.0949375486636972,11
"TEDANA","mtp",0.286713286713287,0.348278251942192,-0.405594405594406,0.0510948221283958,12
"TEDANA","psil",0.872727272727273,0.794886703785765,-0.290909090909091,-0.459445380439936,11
"TEDANA+24P","mtp",0.104895104895105,0.159839684269077,0.0699300699300699,0.421111893187336,12
"TEDANA+24P","psil",0.754545454545455,0.71313767701587,0.0818181818181818,-0.195227944206435,11
"TEDANA+aCompCor","mtp",0.020979020979021,-0.0152025480537709,0.321678321678322,0.594136526762327,12
"TEDANA+aCompCor","psil",0.5,0.526995734087303,0.372727272727273,0.0493473790668374,11
