"pipeline","condition","n_subjects","n_edges","pct_sig_p05","median_abs_qcfc","distance_dependence_rho"
"TEDANA","psil",6,26796,15.1403194506643,0.58572949699613,0.0654065269867988
"TEDANA","mtp",6,26796,4.62009255112703,0.335682425723459,0.00694032112979593
"TEDANA+24P","psil",6,26796,16.4987311539036,0.598654529961719,0.0723743397609998
"TEDANA+24P","mtp",6,26796,2.5675473951336,0.30140742283406,0.0735229960191922
"TEDANA+aCompCor","psil",6,26796,5.35527690700104,0.421118732869773,0.0576872733658997
"TEDANA+aCompCor","mtp",6,26796,2.86609941782356,0.304419741356033,0.0895656444176696
"OC+Siegel","psil",6,26796,2.61606209882072,0.337160452619169,0.0434092788985208
"OC+Siegel","mtp",6,26796,4.87759367069712,0.349635499719171,0.00577260067685167
"OC+24P","psil",6,26796,9.54246902522765,0.489734573398195,0.0842736045495291
"OC+24P","mtp",6,26796,3.1945066427825,0.31302332895723,0.0364440826483878
"OC+aCompCor","psil",6,26796,3.05269443200478,0.341609422244375,0.0457292197816903
"OC+aCompCor","mtp",6,26796,3.41468875951635,0.315433391391808,0.100375984123935
"OC+36P+GSR","psil",6,26796,8.78489326765189,0.410096594585089,0.00294175987894612
"OC+36P+GSR","mtp",6,26796,6.23973727422003,0.37694507445912,-0.00870562749063097
