"metric","network","p_value","p_wilcox","d_z","d_av","method","p_FDR"
"POS","Vis",0.499988227898891,0.833935414088552,0.296677216872363,0.33592923582354,"parallel (t + Wilcoxon)",0.499988227898891
"POS","SomMot",0.245644266231268,0.142213241936393,0.536772416195883,0.771332962015624,"parallel (t + Wilcoxon)",0.280736304264307
"POS","DorsAttn",0.175742097537288,0.208412803684149,0.643589533941346,0.821613289759895,"parallel (t + Wilcoxon)",0.234322796716385
"POS","SalVentAttn",0.0249274212800922,0.0591720678258594,1.2925020098102,1.68094852731062,"parallel (t + Wilcoxon)",0.109160069953394
"POS","Limbic",0.0409350262325227,0.0360316862182336,1.11739926177374,0.986644761544335,"parallel (t + Wilcoxon)",0.109160069953394
"POS","Cont",0.0332655665362204,0.0591720678258594,1.18941539714445,2.05140103969057,"parallel (t + Wilcoxon)",0.109160069953394
"POS","Default",0.101253245558756,0.0934924836898357,0.81865621748354,1.45656794412316,"parallel (t + Wilcoxon)",0.16200519289401
"POS","Subcortex",0.10016604237858,0.142213241936393,0.822109245396043,1.01199627751101,"parallel (t + Wilcoxon)",0.16200519289401
"NEG","Vis",0.893569993692917,1,0.119327793455469,0.194917306962304,"parallel (t + Wilcoxon)",0.893569993692917
"NEG","SomMot",NA,NA,NA,NA,"constant",NA
"NEG","DorsAttn",NA,NA,NA,NA,"constant",NA
"NEG","SalVentAttn",NA,NA,NA,NA,"constant",NA
"NEG","Limbic",0.467895196891606,0.371093369522698,0.782280477656463,1.55939493231714,"parallel (t + Wilcoxon)",0.754675106069646
"NEG","Cont",0.160342860619954,0.371093369522698,-2.74785444618423,-2.186438721256,"parallel (t + Wilcoxon)",0.485554177256356
"NEG","Default",0.194221670902542,0.371093369522698,2.24539566581042,2.18741364648242,"parallel (t + Wilcoxon)",0.485554177256356
"NEG","Subcortex",0.603740084855717,0.589638551626567,0.251604391456765,0.343445882726431,"parallel (t + Wilcoxon)",0.754675106069646
"RATIO","Vis",0.534788155738861,1,-0.633761851602957,-1.05460360088409,"parallel (t + Wilcoxon)",0.534788155738861
"RATIO","SomMot",NA,NA,NA,NA,"constant",NA
"RATIO","DorsAttn",NA,NA,NA,NA,"constant",NA
"RATIO","SalVentAttn",NA,NA,NA,NA,"constant",NA
"RATIO","Limbic",0.303186252865661,0.371093369522698,1.37077123949256,2.00430569384178,"parallel (t + Wilcoxon)",0.504563237374413
"RATIO","Cont",0.225105524696571,0.371093369522698,-1.91571884705181,-1.92810396600236,"parallel (t + Wilcoxon)",0.504563237374413
"RATIO","Default",0.40365058989953,0.371093369522698,0.961604485080693,1.47727498598357,"parallel (t + Wilcoxon)",0.504563237374413
"RATIO","Subcortex",0.297625718416177,0.280712665268496,0.535020608084044,0.783163731874599,"parallel (t + Wilcoxon)",0.504563237374413
