"pair","delta","d_z","d_av","p_value","p_FDR","BF10","BF01","bf_evidence"
"Cont ↔ Default",0.299409062106026,1.20525973760836,1.93707449159923,0.0318017301060943,0.0937025065866133,2.91035913168233,0.343600206968942,"anecdotica H1"
"Cont ↔ DorsAttn",0.24929295325837,1.1047725007185,1.59121149532542,0.0424719957670111,0.0937025065866133,2.3529590081823,0.424996779171481,"anecdotica H1"
"Cont ↔ Limbic",0.17521367344795,1.3142596920243,1.72813603451368,0.023484852738195,0.0937025065866133,3.64257568735856,0.274531014817473,"moderada H1"
"Cont ↔ SalVentAttn",0.264463952989749,1.05180977989592,1.65003757036809,0.0496485049503098,0.0937025065866133,2.09951333724786,0.47630085613595,"anecdotica H1"
"Cont ↔ SomMot",0.255283339460646,1.0763400680328,1.57875564176552,0.0461712196576201,0.0937025065866133,2.21364187060711,0.45174425605066,"anecdotica H1"
"Cont ↔ Subcortex",0.181308703294272,1.31984457956012,2.13642795731308,0.0231299156455678,0.0937025065866133,3.68401368365265,0.271443074285357,"moderada H1"
"Cont ↔ Vis",0.205796350800746,1.0062586625012,1.37619627338454,0.0568908075704438,0.0937025065866133,1.90181104320838,0.525814593185341,"anecdotica H1"
"Default ↔ DorsAttn",0.29279904785184,1.01906195919985,1.45063838064344,0.0547452396791868,0.0937025065866133,1.95556297379636,0.51136169655467,"anecdotica H1"
"Default ↔ Subcortex",0.139443948413219,1.13769320807243,1.65490792495562,0.0385920014959594,0.0937025065866133,2.52409050735415,0.396182306888924,"anecdotica H1"
"DorsAttn ↔ Limbic",0.188892211705715,1.46465354539851,1.65422746508405,0.0157470159401521,0.0937025065866133,4.90701479967557,0.203789888725446,"moderada H1"
"DorsAttn ↔ Subcortex",0.169574521309076,1.24430523120834,1.89766170888462,0.0284921056890422,0.0937025065866133,3.15644571481861,0.316812038079821,"moderada H1"
"Limbic ↔ SalVentAttn",0.183219265886866,1.89728624727944,1.80127836929451,0.0055953050570159,0.0937025065866133,10.7034498211989,0.0934278215626734,"fuerte H1 (PSIL != MTP)"
"Limbic ↔ SomMot",0.130990805299817,1.36441693342527,1.35210860144225,0.0205047346397378,0.0937025065866133,4.02935951395135,0.248178400695589,"moderada H1"
"Limbic ↔ Subcortex",0.0903360779002553,1.19119769006024,1.25193423927068,0.0330972086355884,0.0937025065866133,2.82593198070313,0.353865558983194,"anecdotica H1"
"Limbic ↔ Vis",0.122278500877085,1.06442660879449,1.148403197543,0.0478254237122122,0.0937025065866133,2.15752511341022,0.463494025531589,"anecdotica H1"
"SalVentAttn ↔ SomMot",0.239148227519112,1.4213179676628,1.75827367893414,0.0176302850067983,0.0937025065866133,4.5097118349445,0.221743658264654,"moderada H1"
"SomMot ↔ Subcortex",0.132274653111859,1.01564343529327,1.50302617344921,0.0553093565202445,0.0937025065866133,1.94107441310537,0.515178600700927,"anecdotica H1"
"Default ↔ Vis",0.206794140804773,0.962928835856816,1.31489963284245,0.0648568668145855,0.100888459489355,1.72999221363687,0.578037283704159,"anecdotica H1"
"Default ↔ SalVentAttn",0.277918137783084,0.922657394149544,1.3242777008943,0.0733480441018765,0.104361529955461,1.58361502471312,0.631466602927159,"anecdotica H1"
"SalVentAttn ↔ Subcortex",0.162756150899884,0.917390542924162,1.62916767992749,0.0745439499681866,0.104361529955461,1.56537768418981,0.638823467396988,"anecdotica H1"
"DorsAttn ↔ SomMot",0.215046158233233,0.864894288667486,1.10540511919343,0.0876665580476246,0.116888744063499,1.39449380804883,0.717106088408667,"anecdotica H1"
"Default ↔ Limbic",0.127172947187875,0.822822460146313,1.19286849366305,0.0999430077987222,0.121669748624531,1.2711043234878,0.786717487716579,"anecdotica H1"
"DorsAttn ↔ SalVentAttn",0.21278405426643,0.835257482450412,1.2286309960215,0.0961368092674965,0.121669748624531,1.30637245699773,0.765478477935897,"anecdotica H1"
"Default ↔ SomMot",0.196692808606194,0.777257903376537,1.05954744679466,0.115287111073427,0.134501629585665,1.15008983872101,0.86949729171773,"anecdotica H1"
"Subcortex ↔ Vis",0.101956101283752,0.758177557466341,1.0506046113641,0.122418669408305,0.137108909737302,1.10308887842362,0.906545265354376,"anecdotica H1"
"DorsAttn ↔ Vis",0.125618693178295,0.502354517496539,0.772160375874014,0.273233202209574,0.283352950439558,0.64805393126178,1.54308145010859,"anecdotica H0"
"SalVentAttn ↔ Vis",0.128049463457899,0.512246149486529,0.784806562227286,0.265028327168686,0.283352950439558,0.660476095671907,1.51405933773075,"anecdotica H0"
"SomMot ↔ Vis",0.0964143999311959,0.381848880184316,0.525342737200281,0.392553311075539,0.392553311075539,0.523158962864301,1.91146491025402,"anecdotica H0"
