"net1","net2","subject","condition","connectivity"
"Cont","Default","sub-P1","MTP",0.361015401917768
"Cont","Default","sub-P1","PSIL",0.641681779473229
"Cont","Default","sub-P3","MTP",0.449744028281282
"Cont","Default","sub-P3","PSIL",0.360111415394425
"Cont","Default","sub-P4","MTP",0.206553553967893
"Cont","Default","sub-P4","PSIL",0.893822474386109
"Cont","Default","sub-P5","MTP",0.21423497778436
"Cont","Default","sub-P5","PSIL",0.492562460560975
"Cont","Default","sub-P6","MTP",0.118192062299368
"Cont","Default","sub-P6","PSIL",0.48877021643516
"Cont","Default","sub-P7","MTP",0.313631822914159
"Cont","Default","sub-P7","PSIL",0.582877873551087
"Cont","DorsAttn","sub-P1","MTP",0.337802539620041
"Cont","DorsAttn","sub-P1","PSIL",0.595279096190837
"Cont","DorsAttn","sub-P3","MTP",0.570639867874632
"Cont","DorsAttn","sub-P3","PSIL",0.468420146330277
"Cont","DorsAttn","sub-P4","MTP",0.327937788593454
"Cont","DorsAttn","sub-P4","PSIL",0.925070844736498
"Cont","DorsAttn","sub-P5","MTP",0.30890075844377
"Cont","DorsAttn","sub-P5","PSIL",0.475485583159635
"Cont","DorsAttn","sub-P6","MTP",0.182629510075808
"Cont","DorsAttn","sub-P6","PSIL",0.477055784928112
"Cont","DorsAttn","sub-P7","MTP",0.41384364992833
"Cont","DorsAttn","sub-P7","PSIL",0.696200378740897
"Cont","Limbic","sub-P1","MTP",0.294337596528085
"Cont","Limbic","sub-P1","PSIL",0.461368177893418
"Cont","Limbic","sub-P3","MTP",0.340028613172654
"Cont","Limbic","sub-P3","PSIL",0.307201675423547
"Cont","Limbic","sub-P4","MTP",0.126880812145792
"Cont","Limbic","sub-P4","PSIL",0.506681994216592
"Cont","Limbic","sub-P5","MTP",0.152771330783131
"Cont","Limbic","sub-P5","PSIL",0.354720605043302
"Cont","Limbic","sub-P6","MTP",0.0894081187281569
"Cont","Limbic","sub-P6","PSIL",0.219422799879494
"Cont","Limbic","sub-P7","MTP",0.188622680080872
"Cont","Limbic","sub-P7","PSIL",0.393935939670036
"Cont","SalVentAttn","sub-P1","MTP",0.257307277725662
"Cont","SalVentAttn","sub-P1","PSIL",0.549907308669309
"Cont","SalVentAttn","sub-P3","MTP",0.430248579808
"Cont","SalVentAttn","sub-P3","PSIL",0.291142058650283
"Cont","SalVentAttn","sub-P4","MTP",0.249467805159743
"Cont","SalVentAttn","sub-P4","PSIL",0.882249232029427
"Cont","SalVentAttn","sub-P5","MTP",0.327135912956107
"Cont","SalVentAttn","sub-P5","PSIL",0.488473093587572
"Cont","SalVentAttn","sub-P6","MTP",0.147168585885543
"Cont","SalVentAttn","sub-P6","PSIL",0.472773797893652
"Cont","SalVentAttn","sub-P7","MTP",0.375988286022715
"Cont","SalVentAttn","sub-P7","PSIL",0.689554674666019
"Cont","SomMot","sub-P1","MTP",0.274929590987315
"Cont","SomMot","sub-P1","PSIL",0.542317836548249
"Cont","SomMot","sub-P3","MTP",0.489967907539766
"Cont","SomMot","sub-P3","PSIL",0.360236760572277
"Cont","SomMot","sub-P4","MTP",0.22132819978767
"Cont","SomMot","sub-P4","PSIL",0.830641939551587
"Cont","SomMot","sub-P5","MTP",0.171684746444164
"Cont","SomMot","sub-P5","PSIL",0.386000681438294
"Cont","SomMot","sub-P6","MTP",0.126396389004622
"Cont","SomMot","sub-P6","PSIL",0.366459842554279
"Cont","SomMot","sub-P7","MTP",0.311153434864698
"Cont","SomMot","sub-P7","PSIL",0.641503244727428
"Cont","Subcortex","sub-P1","MTP",0.266475871439624
"Cont","Subcortex","sub-P1","PSIL",0.450665208209605
"Cont","Subcortex","sub-P3","MTP",0.336027178303971
"Cont","Subcortex","sub-P3","PSIL",0.254262190966043
"Cont","Subcortex","sub-P4","MTP",0.120591190225274
"Cont","Subcortex","sub-P4","PSIL",0.44317501440995
"Cont","Subcortex","sub-P5","MTP",0.137882697382453
"Cont","Subcortex","sub-P5","PSIL",0.376289416993673
"Cont","Subcortex","sub-P6","MTP",0.0992018647361515
