"predictor","brain","rho","p","p_perm","lo","hi","n","p_FDR"
"MEQ_total_PSIL","delta_global_efficiency",0.6,0.208,0.2448,-0.799999999999979,1,6,0.346098377931901
"MEQ_total_PSIL","delta_synch_entropy_assoc",-0.885714285714286,0.0188454810495627,0.0314,-1,-0.2,6,0.113072886297376
"MEQ_Mystical_PSIL","delta_global_efficiency",0.314285714285714,0.544093294460641,0.569,-1,1,6,0.544093294460641
"MEQ_Mystical_PSIL","delta_synch_entropy_assoc",-0.885714285714286,0.0188454810495627,0.0338,-1,-0.2,6,0.113072886297376
"MEQ_Positive_Mood_PSIL","delta_global_efficiency",0.714285714285714,0.110787172011662,0.1419,-0.333333333333319,1,6,0.265889212827988
"MEQ_Positive_Mood_PSIL","delta_synch_entropy_assoc",-0.771428571428571,0.0723965014577259,0.1014,-1,0.0909090909090909,6,0.217189504373178
"MEQ_Time_Space_PSIL","delta_global_efficiency",0.347862621391469,0.499253218114633,0.4925,-0.826184389323164,1,6,0.544093294460641
"MEQ_Time_Space_PSIL","delta_synch_entropy_assoc",-0.811679449913428,0.0498575851013405,0.0717,-1,0,6,0.199430340405362
"MEQ_Ineffability_PSIL","delta_global_efficiency",0.57681790368297,0.2307322519546,0.242,-0.866025403784439,1,6,0.346098377931901
"MEQ_Ineffability_PSIL","delta_synch_entropy_assoc",-0.394664881467296,0.438739251517016,0.447,-1,0.894427190999916,6,0.52648710182042
"EBI_total_PSIL","delta_global_efficiency",0.657142857142857,0.156174927113702,0.1789,-0.6,1,6,0.312349854227405
"EBI_total_PSIL","delta_synch_entropy_assoc",-0.485714285714286,0.328723032069971,0.3512,-1,1,6,0.438297376093294
