"pipeline","has_gsr","metric","mean_PSIL","mean_MTP","diff","p_value","p_wilcox","d_z","d_av","shapiro_p","method","p_FDR","sig_raw","sig_FDR","sign_dz","sign_primary","dz_primary","dir_match"
"TEDANA+aCompCor",FALSE,"mean_strength",115.51142599684,76.1560147480605,39.3554112487799,0.0632296612878115,0.0591720678258594,0.971293512870366,1.50077878082615,0.335418236449864,"parallel (t + Wilcoxon)",0.117426513820221,FALSE,FALSE,1,1,0.971293512870366,TRUE
"TEDANA+aCompCor",FALSE,"global_efficiency",0.530005260461026,0.394722025864734,0.135283234596291,0.0811350781962987,0.0591720678258594,0.889893170782723,1.38752315693742,0.369020955615758,"parallel (t + Wilcoxon)",0.131844502068985,FALSE,FALSE,1,1,0.889893170782723,TRUE
"TEDANA+aCompCor",FALSE,"char_path_length",2.38664727083453,3.25210851953424,-0.86546124869971,0.0521485251668724,0.0591720678258594,-1.03530951544767,-1.53493593366605,0.952239428921413,"parallel (t + Wilcoxon)",0.117426513820221,FALSE,FALSE,-1,-1,-1.03530951544767,TRUE
"TEDANA+aCompCor",FALSE,"density",0.196254416082002,0.180306762203314,0.0159476538786883,0.113371361971768,0.0934924836898357,0.782591082550288,1.20852441557621,0.490979928637226,"parallel (t + Wilcoxon)",0.163758633959221,FALSE,FALSE,1,1,0.782591082550288,TRUE
"TEDANA+aCompCor",FALSE,"clustering",0.719766099159259,0.68268685326779,0.037079245891469,0.0630323628118933,0.0934924836898357,0.972323510589223,0.988768909204618,0.778708214342307,"parallel (t + Wilcoxon)",0.117426513820221,FALSE,FALSE,1,1,0.972323510589223,TRUE
"TEDANA+aCompCor",FALSE,"modularity",0.337435917491377,0.379667697820189,-0.0422317803288115,0.187736371011587,0.29450739368011,-0.622641653373172,-0.44762039609814,0.414560899457191,"parallel (t + Wilcoxon)",0.221870256650057,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"TEDANA+aCompCor",FALSE,"assortativity",0.205467669091584,0.364214558636015,-0.158746889544431,0.0487737014910757,0.0591720678258594,-1.05779940989714,-1.37580250784433,0.211871783435988,"parallel (t + Wilcoxon)",0.117426513820221,TRUE,FALSE,-1,-1,-1.05779940989714,TRUE
"TEDANA+aCompCor",FALSE,"small_worldness",2.64249231029042,2.27308110008128,0.369411210209132,0.165762559535966,0.142213241936393,0.662116786827915,1.15196235812811,0.839517431890843,"parallel (t + Wilcoxon)",0.215491327396755,FALSE,FALSE,1,1,0.662116786827915,TRUE
"TEDANA+aCompCor",FALSE,"eigenvector",0.681415683178938,0.600867590669663,0.0805480925092749,0.0271631279898329,0.0591720678258594,1.26143843965516,1.78478067565443,0.530700848357221,"parallel (t + Wilcoxon)",0.117426513820221,TRUE,FALSE,1,1,1.26143843965516,TRUE
"TEDANA+aCompCor",FALSE,"betweenness",81.6824712643678,108.931752873563,-27.2492816091954,0.047701145008096,0.0591720678258594,-1.06530582356563,-1.34479931649018,0.674178938104076,"parallel (t + Wilcoxon)",0.117426513820221,TRUE,FALSE,-1,-1,-1.06530582356563,TRUE
