"metric","plano","n","d_z","ci_lo_dz","ci_hi_dz","d_av","ci_lo_av","ci_hi_av","ci_method","n_boot"
"mean_strength","global",6,0.971293512870366,-0.0871823572728094,1.95603229673244,1.51768575367545,-0.181782845826219,2.61889025054819,"BCa",10000
"global_efficiency","global",6,0.889893170782723,-0.176575830145216,1.5719458994178,1.40533762428819,-0.200178516209734,2.47358893311152,"BCa",10000
"char_path_length","global",6,-1.03530951544767,-2.35680095467921,-0.0336622339274838,-1.56504658938227,-3.19744004139652,-0.323663681090994,"BCa",10000
"density","global",6,0.782591082550288,-0.109848477853955,1.6303232574316,1.35544481970925,-0.438262949726082,2.84933259063036,"BCa",10000
"clustering","global",6,0.972323510589223,0.100212192332179,2.89164686890626,0.991105965930162,-0.103624719800865,3.81386277598004,"BCa",10000
"modularity","global",6,-0.622641653373172,-1.50151170111791,0.351365271757892,-0.449317447095363,-1.18059763278007,0.16165863567568,"BCa",10000
"assortativity","global",6,-1.05779940989714,-2.52766945913088,0.108008925309559,-1.37580271721124,-2.51601960561461,0.190952247918604,"BCa",10000
"small_worldness","global",6,0.662116786827915,-0.380407469592974,1.78456432999245,1.1521298937185,-0.401097055743655,2.77116637851208,"BCa",10000
"eigenvector","nodal",6,1.26143843965516,0.403380063100071,3.46314968899166,1.83914533388966,0.409655321558905,3.10365829418822,"BCa",10000
"betweenness","nodal",6,-1.06530582356563,-1.83075324512501,-0.0302843144178404,-1.36108100560402,-2.02757748523179,-0.34075660645153,"BCa",10000
"closeness","nodal",6,-0.0283659638346467,-1.09831426974923,0.955945558994009,-0.0445188034635459,-1.54918168517397,1.79275587133627,"BCa",10000
"participation","nodal",6,-1.11100230107444,-2.17277551903494,-0.604393426646128,-0.383080988173822,-0.967430399741125,-0.0794205405652212,"BCa",10000
"degree_entropy","advanced",6,0.198820958841412,-0.769357226672101,1.23892283411205,0.278584253904239,-1.05142118387487,1.72047159264551,"BCa",10000
