"metric","plano","n_subj","mode","d_z","method","obs_diff","p_param","p_perm","sign_match","p_order_match","agreement"
"mean_strength","global",6,"exact (2^6=64 perms)",0.971293512870366,"parallel (t + Wilcoxon)",39.3554112487799,0.117426513820221,0.142857142857143,TRUE,TRUE,"acuerdo"
"global_efficiency","global",6,"exact (2^6=64 perms)",0.889893170782723,"parallel (t + Wilcoxon)",0.135283234596291,0.131844502068985,0.142857142857143,TRUE,TRUE,"acuerdo"
"char_path_length","global",6,"exact (2^6=64 perms)",-1.03530951544767,"parallel (t + Wilcoxon)",-0.86546124869971,0.117426513820221,0.142857142857143,TRUE,TRUE,"acuerdo"
"assortativity","global",6,"exact (2^6=64 perms)",-1.05779940989714,"parallel (t + Wilcoxon)",-0.158746889544431,0.117426513820221,0.142857142857143,TRUE,TRUE,"acuerdo"
"eigenvector","nodal",6,"exact (2^6=64 perms)",1.26143843965516,"parallel (t + Wilcoxon)",0.0805480925092749,0.117426513820221,0.142857142857143,TRUE,TRUE,"acuerdo"
"betweenness","nodal",6,"exact (2^6=64 perms)",-1.06530582356563,"parallel (t + Wilcoxon)",-27.2492816091954,0.117426513820221,0.142857142857143,TRUE,TRUE,"acuerdo"
"participation","nodal",6,"exact (2^6=64 perms)",-1.11100230107444,"parallel (t + Wilcoxon)",-0.0260808062228817,0.117426513820221,0.142857142857143,TRUE,TRUE,"acuerdo"
"density","global",6,"exact (2^6=64 perms)",0.782591082550288,"parallel (t + Wilcoxon)",0.0159476538786883,0.163758633959221,0.155555555555556,TRUE,TRUE,"acuerdo"
"clustering","global",6,"exact (2^6=64 perms)",0.972323510589223,"parallel (t + Wilcoxon)",0.037079245891469,0.117426513820221,0.155555555555556,TRUE,TRUE,"acuerdo"
"small_worldness","global",6,"exact (2^6=64 perms)",0.662116786827915,"parallel (t + Wilcoxon)",0.369411210209132,0.215491327396755,0.26,TRUE,TRUE,"acuerdo"
"modularity","global",6,"exact (2^6=64 perms)",-0.622641653373172,"parallel (t + Wilcoxon)",-0.0422317803288115,0.221870256650057,0.272727272727273,TRUE,TRUE,"acuerdo"
"degree_entropy","advanced",6,"exact (2^6=64 perms)",0.198820958841412,"parallel (t + Wilcoxon)",0.0434964741620779,0.700753851673642,0.716666666666667,TRUE,TRUE,"acuerdo"
"closeness","nodal",6,"exact (2^6=64 perms)",-0.0283659638346467,"parallel (t + Wilcoxon)",-0.000115286897162102,0.947299107301648,0.969230769230769,TRUE,TRUE,"acuerdo"
