"roi","roi_label","network","d_z_primary","p_FDR_primary","n_dir","n_dir_noGSR","converge_S0","sign_match_GSR"
170,"RH_Cont_PFCl_1","Cont",6.79568821762162,0.00222465353026342,7,6,TRUE,TRUE
66,"LH_Cont_PFCl_1","Cont",6.37879985188666,0.00222465353026342,7,6,TRUE,TRUE
137,"RH_DorsAttn_Post_3","DorsAttn",4.3739758352013,0.00760510768392687,7,6,TRUE,TRUE
60,"LH_Limbic_TempPole_4","Limbic",4.29855845898978,0.00760510768392687,5,5,FALSE,FALSE
160,"RH_Limbic_OFC_2","Limbic",3.53986792384941,0.0151630316936534,7,6,TRUE,TRUE
195,"RH_Default_PFCdPFCm_5","Default",3.40362361448503,0.0151630316936534,7,6,TRUE,TRUE
65,"LH_Cont_OFC_1","Cont",3.30600136070686,0.0151630316936534,6,6,TRUE,FALSE
93,"LH_Default_PFC_11","Default",3.09386221778624,0.0158973452413695,7,6,TRUE,TRUE
139,"RH_DorsAttn_Post_5","DorsAttn",3.03931322149352,0.0158973452413695,7,6,TRUE,TRUE
127,"RH_SomMot_12","SomMot",3.03203765636534,0.0158973452413695,6,6,TRUE,FALSE
