"seed","network","dz_primary","sign_primary","n_dir","n_dir_noGSR","n_total","converge_S0","sign_match_GSR"
"AMY","Vis",0.215748468011223,1,5,5,7,FALSE,FALSE
"AMY","SomMot",0.263122111319746,1,5,5,7,FALSE,FALSE
"AMY","DorsAttn",0.692308979181627,1,7,6,7,TRUE,TRUE
"AMY","SalVentAttn",0.710341150487495,1,7,6,7,TRUE,TRUE
"AMY","Limbic",0.425942491842155,1,6,6,7,TRUE,FALSE
"AMY","Cont",0.750197255315277,1,7,6,7,TRUE,TRUE
"AMY","Default",0.44442257466593,1,5,5,7,FALSE,FALSE
"AMY","Subcortex",0.503389986993532,1,5,5,7,FALSE,FALSE
"HIP","Vis",0.73436904190739,1,7,6,7,TRUE,TRUE
"HIP","SomMot",0.583973984140388,1,6,6,7,TRUE,FALSE
"HIP","DorsAttn",1.00081360846644,1,7,6,7,TRUE,TRUE
"HIP","SalVentAttn",0.787981113608284,1,7,6,7,TRUE,TRUE
"HIP","Limbic",0.585032948232195,1,5,5,7,FALSE,FALSE
"HIP","Cont",1.20692512542011,1,7,6,7,TRUE,TRUE
"HIP","Default",0.645207864490089,1,6,6,7,TRUE,FALSE
"HIP","Subcortex",0.93482725147892,1,7,6,7,TRUE,TRUE
"NAc","Vis",0.735185793932829,1,6,6,7,TRUE,FALSE
"NAc","SomMot",0.845397193958197,1,6,6,7,TRUE,FALSE
"NAc","DorsAttn",0.99099913973214,1,6,6,7,TRUE,FALSE
"NAc","SalVentAttn",0.637082789004254,1,7,6,7,TRUE,TRUE
"NAc","Limbic",0.814979649171059,1,7,6,7,TRUE,TRUE
"NAc","Cont",1.07122308811509,1,7,6,7,TRUE,TRUE
"NAc","Default",0.957574181880468,1,7,6,7,TRUE,TRUE
"NAc","Subcortex",0.849184940404117,1,7,6,7,TRUE,TRUE
"PUT","Vis",0.931100051194613,1,6,6,7,TRUE,FALSE
"PUT","SomMot",1.54307451221819,1,7,6,7,TRUE,TRUE
"PUT","DorsAttn",1.37375831226786,1,6,6,7,TRUE,FALSE
"PUT","SalVentAttn",0.864083696649383,1,7,6,7,TRUE,TRUE
"PUT","Limbic",1.85948566868414,1,7,6,7,TRUE,TRUE
"PUT","Cont",2.13588547979146,1,7,6,7,TRUE,TRUE
"PUT","Default",1.77055727994347,1,7,6,7,TRUE,TRUE
"PUT","Subcortex",1.01813147064284,1,7,6,7,TRUE,TRUE
"THA","Vis",0.708596745718911,1,7,6,7,TRUE,TRUE
"THA","SomMot",0.913388155252696,1,7,6,7,TRUE,TRUE
"THA","DorsAttn",1.104625810274,1,7,6,7,TRUE,TRUE
"THA","SalVentAttn",0.984686459783881,1,7,6,7,TRUE,TRUE
"THA","Limbic",0.901648226852978,1,7,6,7,TRUE,TRUE
"THA","Cont",1.08983958842338,1,7,6,7,TRUE,TRUE
"THA","Default",0.864945779035966,1,6,6,7,TRUE,FALSE
"THA","Subcortex",0.956356032120545,1,7,6,7,TRUE,TRUE
